# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,16.04,0.46
1.0,15.2,0.46
2.1,15.21,0.46
3.1,15.21,0.46
4.1,15.21,0.46
5.1,15.21,0.46
6.2,15.21,0.46
7.2,15.45,0.71
8.2,15.73,1.02
9.2,16.03,1.34
10.3,16.26,1.71
11.3,16.29,3.08
12.3,16.29,3.08
13.3,16.29,3.08
14.4,16.29,3.08
15.4,16.29,3.08
16.4,16.29,3.08
17.5,16.29,3.08
18.5,16.29,3.08
19.5,16.29,3.08
20.5,16.76,3.08
21.6,16.14,0.48
22.6,17.52,1.9
23.6,16.13,3.1
24.6,16.13,3.1
25.7,16.13,3.1
26.7,16.13,3.1
27.7,16.13,3.1
28.8,16.13,3.1
29.8,16.13,3.11
30.8,16.13,3.11
31.8,16.13,3.11
32.9,16.16,3.11
33.9,17.14,3.11
34.9,17.07,1.64
35.9,17.07,1.64
37.0,17.12,1.64
38.0,17.07,1.9
39.0,17.1,1.9
40.0,17.07,1.9
41.1,17.08,1.43
42.1,17.08,1.69
43.1,17.08,1.69
44.2,17.08,1.69
45.2,17.08,1.69
46.2,17.08,1.76
47.2,17.08,1.76
48.3,17.08,1.76
49.3,17.1,1.83
50.3,17.1,1.61
51.3,17.1,1.96
52.4,17.1,1.96
53.4,17.45,2.39
54.4,17.6,2.0
56.3,18.04,1.73
57.3,17.89,2.14
58.4,18.27,3.71
59.4,18.27,3.98
60.4,18.27,3.98
61.4,18.27,3.98
62.5,18.27,3.98
63.5,18.27,3.98
64.5,18.27,3.98
65.5,18.27,3.98
66.6,18.27,3.98
67.6,18.27,3.98
68.6,18.27,3.98
69.6,18.27,3.98
70.7,18.27,3.98
71.7,18.27,3.98
72.7,18.27,3.98
73.8,18.27,3.98
74.8,18.27,3.98
75.8,18.27,3.98
76.8,18.27,3.98
77.9,18.27,3.98
78.9,18.27,3.98
79.9,18.27,3.98
80.9,18.27,3.98
82.0,18.27,3.98
83.0,18.27,3.98
84.0,18.27,3.98
85.1,18.27,3.98
86.1,18.27,3.98
87.1,18.27,3.98
88.1,18.27,3.98
89.2,18.27,3.98
90.2,18.27,3.98
91.2,18.27,3.98
92.3,18.27,3.98
93.3,18.27,3.98
94.3,18.27,3.98
95.3,18.27,3.98
96.4,18.27,3.98
97.4,18.27,3.98
98.4,18.27,3.98
99.5,18.27,3.98
100.5,18.27,3.98
101.5,18.27,3.98
102.5,18.27,3.98
103.6,18.27,3.98
104.6,18.27,3.98
105.6,18.27,3.98
106.6,18.27,3.98
107.7,18.27,3.98
108.7,18.27,3.98
109.7,18.27,3.98
110.8,18.27,3.98
111.8,18.27,3.98
112.8,18.27,3.98
113.8,18.27,3.98
114.9,18.27,3.98
115.9,18.27,3.98
116.9,18.27,3.98
117.9,18.27,3.98
119.0,18.27,3.98
120.0,18.27,3.98
121.0,18.27,3.98
122.1,18.27,3.98
123.1,18.73,3.98
124.1,18.57,1.69
125.1,18.59,2.04
126.2,18.49,2.55
127.2,19.28,3.04
128.2,18.59,2.59
129.2,18.68,2.35
130.3,19.29,1.94
131.3,18.53,2.35
132.3,18.97,1.65
133.4,19.41,1.63
134.4,19.25,4.03
135.4,18.88,3.91
136.4,19.19,2.08
137.5,18.97,4.03
138.5,18.66,4.03
139.5,19.14,2.08
140.5,18.89,4.03
141.6,18.84,4.03
142.6,19.21,2.33
143.6,18.89,4.03
144.6,18.42,4.07
145.7,19.46,2.57
146.7,20.18,2.49
147.7,20.34,2.66
148.8,20.37,1.84
149.8,19.21,2.98
150.8,19.06,2.18
151.8,20.31,2.18
152.9,18.8,3.0
153.9,19.76,2.55
154.9,19.97,2.25
155.9,20.29,1.88
157.0,20.6,1.88
158.0,18.5,3.07
159.0,18.5,3.07
160.0,18.78,2.06
161.1,20.25,2.06
162.1,18.61,1.74
163.1,18.71,0.87
164.1,19.11,0.52
165.2,19.56,0.52
166.2,19.64,0.52
167.2,19.43,0.52
168.2,19.52,0.52
169.3,19.66,0.52
170.3,19.66,0.52
171.3,19.86,0.52
172.3,20.18,0.52
173.4,21.1,0.52
174.4,20.91,0.52
175.4,21.0,0.52
176.4,21.13,0.52
177.5,21.27,0.52
178.5,21.76,0.52
179.5,22.96,0.52
180.6,22.4,0.52
181.6,22.47,1.21
182.6,22.6,1.56
183.6,22.87,1.56
184.7,23.75,1.56
185.7,23.75,1.56
186.7,23.75,1.56
187.7,23.79,1.56
188.8,23.8,1.56
189.8,23.71,1.56
190.8,23.73,1.56
191.8,23.75,1.56
192.9,23.66,1.56
193.9,23.59,1.56
194.9,23.6,1.56
195.9,23.62,1.56
197.0,23.64,2.7
198.0,23.06,3.39
199.0,23.06,3.39
200.1,22.64,3.39
201.1,22.37,3.39
202.1,22.37,3.39
203.1,22.37,3.39
204.2,22.37,3.39
205.2,22.37,3.39
206.2,22.37,3.39
207.2,21.24,1.95
208.3,21.24,2.08
209.3,21.24,2.08
210.4,21.24,2.08
211.4,21.24,2.08
212.5,21.25,2.08
213.5,20.63,0.42
214.5,20.75,0.42
215.5,20.98,0.53
216.6,21.08,0.53
217.6,21.13,0.53
218.6,21.23,0.53
219.6,21.25,0.53
220.7,20.2,0.53
221.7,19.76,0.53
222.7,19.76,0.53
223.7,19.76,0.53
