# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,0.95,0.11
1.1,0.95,0.11
2.1,0.96,0.11
3.1,0.96,0.11
4.2,0.96,0.11
5.2,0.96,0.11
6.2,0.96,0.11
7.3,1.4,0.11
8.3,1.62,0.11
9.4,1.83,0.22
10.4,1.9,0.22
11.4,1.91,0.22
12.4,1.93,0.22
13.5,1.91,0.22
14.5,1.96,0.22
15.5,2.02,0.22
16.5,2.09,0.22
17.6,2.21,0.22
18.6,2.16,0.22
19.6,2.29,0.22
20.6,2.42,0.22
21.7,2.48,0.22
22.7,2.43,0.22
23.7,2.56,0.22
24.7,2.69,0.22
25.8,2.82,0.22
26.8,2.95,0.22
27.8,3.08,0.22
28.8,3.21,0.22
29.9,2.84,0.22
30.9,2.97,0.22
31.9,2.66,0.22
32.9,2.54,0.22
34.0,1.93,0.22
35.0,1.93,0.22
36.0,1.93,0.22
37.1,1.93,0.22
38.1,1.93,0.22
39.1,1.93,0.22
40.1,1.93,0.22
41.2,1.93,0.22
42.2,1.93,0.22
43.2,1.94,0.22
44.3,1.99,0.22
45.3,2.1,0.22
46.3,2.21,0.22
47.4,2.32,0.22
48.4,2.43,0.22
49.4,2.55,0.22
50.5,2.66,0.22
51.5,2.74,0.22
52.6,1.97,0.22
53.6,1.97,0.22
54.6,1.97,0.22
55.7,1.97,0.22
56.7,2.08,0.22
57.7,2.21,0.22
58.8,2.34,0.22
59.8,2.22,0.22
60.9,2.35,0.22
61.9,2.48,0.22
62.9,2.62,0.22
64.0,2.68,0.22
65.0,2.82,0.22
66.0,2.95,0.22
67.1,3.08,0.22
68.1,3.21,0.22
69.1,3.22,0.22
70.2,2.83,0.22
71.2,2.96,0.22
72.2,3.03,0.22
73.3,3.1,0.22
74.3,3.23,0.22
75.4,3.31,0.22
76.4,2.02,0.22
77.4,2.02,0.22
78.5,2.02,0.22
79.5,2.02,0.22
80.5,2.02,0.22
81.6,2.02,0.22
82.6,2.02,0.22
83.6,2.02,0.22
84.7,2.02,0.22
85.7,2.07,0.22
86.7,2.12,0.22
87.8,2.23,0.22
88.8,2.18,0.22
89.9,2.31,0.22
90.9,2.43,0.22
91.9,2.56,0.22
93.0,2.69,0.22
94.0,2.82,0.22
95.0,2.76,0.22
96.1,2.9,0.22
97.1,3.03,0.22
98.2,3.16,0.22
99.2,3.29,0.22
100.2,3.42,0.22
101.3,3.55,0.22
102.3,3.68,0.22
103.4,3.81,0.22
104.4,3.94,0.22
105.4,4.0,0.22
106.5,2.08,0.22
107.5,2.08,0.22
108.5,2.08,0.22
109.6,2.19,0.22
110.6,2.3,0.22
111.6,2.17,0.22
112.7,2.28,0.22
113.7,2.36,0.22
114.8,2.48,0.22
115.8,2.59,0.22
116.8,2.69,0.22
117.9,2.09,0.22
118.9,2.12,0.22
119.9,2.25,0.22
121.0,2.18,0.22
122.0,2.26,0.22
123.1,2.36,0.22
124.1,2.49,0.22
125.1,2.59,0.22
126.2,2.7,0.22
127.2,2.82,0.22
128.3,2.94,0.22
129.3,3.07,0.22
130.3,3.19,0.22
131.4,3.19,0.22
132.4,3.31,0.22
133.5,3.43,0.22
134.5,3.31,0.22
135.5,3.27,0.22
136.6,3.4,0.22
137.6,3.53,0.22
138.6,3.1,0.22
139.7,2.09,0.22
140.7,2.09,0.22
141.8,2.09,0.22
142.8,2.1,0.22
143.8,2.1,0.22
144.9,2.1,0.22
145.9,2.11,0.22
146.9,2.11,0.22
148.0,2.11,0.22
149.0,2.11,0.22
150.0,2.11,0.22
151.1,2.12,0.22
152.1,2.12,0.22
153.2,2.12,0.22
154.2,2.13,0.22
155.2,2.14,0.22
156.3,2.14,0.22
157.3,2.15,0.22
158.3,2.09,0.22
159.4,2.12,0.22
160.4,2.21,0.22
161.4,2.27,0.22
162.5,2.38,0.22
163.5,2.49,0.22
164.5,2.61,0.22
165.6,2.72,0.22
166.6,2.83,0.22
167.7,2.93,0.22
168.7,2.85,0.22
169.7,2.94,0.22
170.8,3.02,0.22
171.8,3.1,0.22
172.9,3.19,0.22
173.9,3.27,0.22
174.9,3.35,0.22
176.0,3.44,0.22
177.0,3.52,0.22
178.0,3.61,0.22
179.1,3.69,0.22
180.1,3.77,0.22
181.2,3.85,0.22
182.2,2.98,0.22
183.2,3.05,0.22
184.3,3.0,0.22
185.3,2.88,0.22
186.4,2.91,0.22
187.4,2.13,0.22
188.4,2.13,0.22
189.5,2.13,0.22
190.5,2.13,0.22
191.5,2.13,0.22
192.6,2.13,0.22
