# total_ram_gb=14.6
t,ram_gb,vram_gb
0.2,2.51,0.42
1.7,2.51,0.42
3.7,2.55,0.42
5.8,2.6,0.42
7.4,2.57,0.42
8.9,2.58,0.42
10.8,2.59,0.42
12.6,2.6,0.42
14.6,2.64,0.42
16.6,2.63,0.42
18.2,2.67,0.42
20.1,2.69,0.42
21.9,2.69,0.42
23.8,2.7,0.42
25.5,2.71,0.42
27.4,2.72,0.42
29.3,2.73,0.42
31.2,2.74,0.42
33.0,2.76,0.42
34.9,2.77,0.42
36.4,2.77,0.42
38.2,2.78,0.42
40.2,2.79,0.42
41.8,2.83,0.42
43.6,2.86,0.42
45.5,2.85,0.42
47.3,2.86,0.42
49.1,2.86,0.42
51.0,2.87,0.42
53.1,2.88,0.42
55.0,2.88,0.42
57.0,2.91,0.42
58.8,2.93,0.42
60.8,2.96,0.42
62.7,2.97,0.42
64.6,3.0,0.42
66.5,3.02,0.42
68.5,3.03,0.42
70.4,3.05,0.42
72.2,3.06,0.42
73.9,3.06,0.42
75.8,3.07,0.42
77.7,3.08,0.42
79.3,3.09,0.42
81.1,3.1,0.42
82.6,3.1,0.42
84.5,3.1,0.42
86.4,3.1,0.42
88.0,2.88,0.42
89.4,3.01,0.42
90.8,3.05,0.42
92.7,3.08,0.42
94.4,3.09,0.42
96.2,3.12,0.42
98.2,3.14,0.42
99.8,3.15,0.42
101.7,3.16,0.42
103.7,3.17,0.42
105.6,3.17,0.42
107.5,3.19,0.42
109.4,3.2,0.42
111.2,3.2,0.42
113.0,3.2,0.42
115.0,3.2,0.42
116.4,3.21,0.42
118.3,3.21,0.42
120.3,3.22,0.42
122.1,3.23,0.42
124.0,3.23,0.42
125.8,3.23,0.42
127.9,3.24,0.42
129.6,3.24,0.42
131.5,3.17,0.42
133.0,3.15,0.42
134.5,3.15,0.42
136.0,3.15,0.42
137.6,3.16,0.42
139.1,3.16,0.42
140.6,3.17,0.42
142.2,3.18,0.42
143.8,3.18,0.42
145.3,3.16,0.42
146.9,3.17,0.42
148.6,3.24,
152.4,3.47,
156.4,3.68,
162.5,3.93,0.42
164.6,3.96,
168.2,4.0,0.42
170.4,3.99,0.42
172.3,4.0,0.42
174.1,4.02,0.42
176.2,4.09,0.42
178.4,4.1,0.42
180.7,4.13,0.42
182.8,4.15,0.42
186.0,4.17,0.42
188.1,4.2,0.42
190.5,4.2,0.42
192.6,4.17,0.42
194.5,4.17,0.42
196.4,4.16,0.42
198.4,4.18,0.42
200.3,4.23,0.42
202.2,4.3,0.42
204.2,4.36,0.42
206.3,4.43,0.42
208.2,4.49,0.42
210.3,4.56,0.42
212.4,4.62,0.42
214.3,4.68,0.42
216.3,4.74,0.42
218.2,4.81,0.42
220.2,4.88,0.42
222.1,4.95,0.42
224.2,5.01,0.42
226.0,5.07,0.42
227.9,5.13,0.42
229.8,5.2,0.42
231.8,5.25,0.42
233.7,5.25,0.42
235.3,5.25,0.42
237.2,5.25,0.42
238.7,5.25,0.42
240.6,5.25,0.42
242.2,5.25,0.42
244.0,5.25,0.42
245.6,5.26,0.42
247.5,5.31,0.43
249.1,5.34,0.58
251.0,5.37,1.31
252.8,5.37,1.77
254.3,5.38,1.77
256.4,5.39,1.77
258.3,5.42,1.77
260.4,5.43,2.03
262.4,5.46,2.03
264.3,5.52,2.03
266.4,5.59,2.03
268.3,5.66,2.03
270.2,5.74,2.03
272.2,5.8,2.03
274.2,5.87,2.03
276.2,5.93,2.03
278.1,6.0,2.03
279.9,6.05,2.03
281.7,6.13,2.03
283.7,6.16,0.75
285.6,6.17,0.75
287.5,6.2,0.75
289.5,6.24,0.75
291.4,6.23,0.75
293.0,6.23,0.75
294.8,5.7,0.75
296.3,3.64,0.75
298.0,2.9,0.42
299.5,2.85,0.42
301.0,3.06,0.42
302.5,3.0,0.42
304.0,3.16,0.42
305.6,3.05,0.42
306.9,3.18,0.42
308.4,3.07,0.42
309.9,3.07,0.42
311.4,3.09,0.42
313.0,3.09,0.42
314.5,3.11,0.42
316.0,3.1,0.42
317.5,3.1,0.42
319.0,3.11,0.42
320.7,3.11,0.42
322.3,3.19,0.43
323.9,3.22,0.47
325.5,3.26,0.62
327.1,3.27,0.62
328.6,3.27,0.62
330.0,3.27,0.62
331.5,3.3,0.62
333.1,3.32,0.62
334.7,3.33,0.62
336.2,3.35,0.62
337.9,3.36,0.62
339.4,3.39,0.62
341.0,3.44,0.62
342.7,3.49,0.62
345.0,3.59,0.62
346.7,3.43,0.62
348.4,3.53,0.62
350.4,3.53,0.9
351.9,3.54,
355.4,3.78,
358.8,4.0,
362.3,4.17,
366.7,4.43,
370.1,4.61,0.9
373.3,4.82,
377.1,4.93,
380.7,5.11,
385.0,5.24,
388.6,5.37,
392.6,5.61,0.9
394.9,5.48,
399.9,5.65,0.9
409.2,5.96,0.9
411.3,5.65,0.9
413.6,5.59,0.9
