# total_ram_gb=31.2
t,ram_gb,vram_gb
0.0,20.94,0.99
1.0,20.94,0.99
2.1,20.94,0.99
3.1,20.94,0.99
4.1,20.94,0.99
5.2,20.94,0.99
6.2,20.94,0.99
7.2,20.94,0.99
8.2,20.94,0.99
9.3,2.04,0.5
10.3,2.26,0.5
11.3,2.44,0.75
12.4,2.55,0.75
13.4,2.63,0.75
14.4,4.14,0.75
15.5,3.83,1.99
16.5,3.83,1.99
17.5,4.4,0.83
18.6,5.2,1.69
19.6,4.44,3.34
20.6,4.49,3.44
21.6,4.49,3.44
22.7,4.49,3.44
23.7,4.49,3.44
24.7,4.49,3.44
25.8,4.49,3.44
26.8,5.72,3.44
27.8,7.12,0.84
28.9,7.91,1.56
29.9,9.61,3.24
30.9,7.37,3.5
32.0,7.37,3.5
33.0,7.37,3.5
34.0,7.37,3.5
35.0,7.37,3.5
36.1,7.37,3.5
37.1,7.37,3.51
38.1,8.59,3.51
39.2,9.81,0.86
40.2,11.12,0.86
41.2,11.0,0.86
42.3,11.55,0.86
43.3,12.1,0.86
44.3,11.06,1.29
45.4,10.91,1.97
46.4,11.17,2.34
47.4,11.32,2.09
48.4,11.41,1.85
49.5,12.11,0.85
50.5,12.04,0.87
51.5,13.74,2.62
52.6,12.01,3.53
53.6,12.02,3.53
54.6,12.02,3.53
55.7,12.02,3.54
56.7,12.02,3.54
57.7,12.02,3.54
58.8,13.06,3.54
59.8,14.37,0.89
60.8,15.53,0.89
61.8,15.49,0.89
62.9,16.02,0.89
63.9,16.47,0.89
64.9,16.9,0.89
66.0,14.51,1.99
67.0,14.51,2.68
68.0,14.63,2.44
69.1,14.99,2.09
70.1,14.66,2.21
71.1,15.7,1.1
72.2,15.96,1.19
73.2,15.96,1.19
74.2,16.0,1.19
75.3,15.89,2.26
76.3,15.89,2.26
77.3,15.89,2.26
78.3,15.89,2.26
79.4,15.89,2.26
80.4,15.65,2.06
81.4,15.62,2.07
82.5,15.67,2.07
83.6,15.69,2.07
84.6,15.71,2.07
85.6,15.71,2.07
86.7,15.71,2.07
87.7,15.73,2.07
88.7,15.74,2.07
89.8,15.74,2.07
90.8,15.74,2.07
91.8,15.74,2.07
92.8,15.74,2.07
93.9,15.74,2.07
94.9,15.74,2.07
95.9,15.74,2.07
97.0,15.78,1.94
98.0,15.9,0.88
99.0,16.52,1.12
100.0,16.54,1.12
101.1,16.58,1.12
102.1,16.26,1.47
103.1,16.22,1.72
104.2,16.22,1.72
105.2,16.22,1.72
106.2,16.22,1.72
107.3,16.25,1.72
108.3,16.07,0.94
109.3,16.07,0.94
110.3,16.07,0.94
111.4,16.07,0.94
112.4,16.16,0.9
113.4,16.31,0.9
114.5,16.36,0.9
115.5,16.36,0.9
116.5,15.84,0.65
117.6,15.91,0.65
118.6,16.18,0.9
119.6,16.43,0.9
120.6,16.49,0.9
121.7,16.58,0.9
122.7,16.67,0.9
123.7,16.28,0.9
124.8,16.28,0.9
125.8,16.28,0.9
126.8,16.28,0.9
127.8,16.28,0.9
128.9,16.28,0.9
129.9,16.28,0.9
130.9,16.28,0.9
132.0,16.28,0.9
133.0,16.28,0.9
134.0,16.28,0.9
135.0,16.28,0.9
