# total_ram_gb=31.2
t,ram_gb,vram_gb
0.0,2.19,0.5
1.0,2.66,0.5
2.1,2.71,0.5
3.1,2.83,0.5
4.1,2.77,0.75
5.2,2.59,0.75
6.2,2.59,0.75
7.2,2.59,0.75
8.3,2.63,0.75
9.3,2.7,0.75
10.3,2.97,0.75
11.3,3.08,0.75
12.4,3.13,0.75
13.4,3.16,0.75
14.4,3.09,0.81
15.5,3.59,0.81
16.5,4.33,0.81
17.5,4.86,0.81
18.6,4.28,4.53
19.6,4.28,4.53
20.6,4.31,4.53
21.7,4.31,4.53
22.7,4.31,4.53
23.7,4.31,4.53
24.7,4.31,4.53
25.8,4.32,5.84
26.8,4.32,5.84
27.8,4.32,5.84
28.9,4.32,5.84
29.9,4.32,5.84
30.9,4.32,5.84
32.0,4.32,5.84
33.0,4.32,7.17
34.0,4.32,7.17
35.0,4.32,7.17
36.1,4.32,7.17
37.1,4.32,7.17
38.1,4.32,7.17
39.2,4.32,7.17
40.2,4.32,7.17
41.2,4.32,7.17
42.3,4.32,7.17
43.3,4.36,7.17
44.3,4.35,7.17
45.4,4.34,7.17
46.4,4.32,7.17
47.4,4.32,7.17
48.4,4.32,7.17
49.5,4.32,7.17
50.5,4.32,7.17
51.5,4.32,7.17
52.6,4.32,7.17
53.6,4.32,7.18
54.6,4.35,7.18
55.6,4.32,7.18
56.7,4.32,7.18
57.7,4.32,7.18
58.7,4.32,7.18
59.8,4.32,7.18
60.8,4.32,7.18
61.8,4.32,7.18
62.9,4.32,7.18
63.9,4.32,7.18
64.9,4.32,7.18
66.0,4.32,7.18
67.0,4.46,0.84
68.0,4.45,1.98
69.0,5.41,0.87
70.1,6.91,0.87
71.1,6.6,0.87
72.1,7.23,0.87
73.2,7.62,0.87
74.2,6.35,1.77
75.2,6.35,2.02
76.3,6.35,2.02
77.3,6.35,2.02
78.3,6.39,2.14
79.4,6.39,2.14
80.4,6.39,2.14
81.4,6.39,2.14
82.4,6.39,2.14
83.5,6.4,2.1
84.5,6.4,2.1
85.5,6.49,2.26
86.6,6.49,2.26
87.6,6.49,2.26
88.6,6.49,2.26
89.7,6.49,2.32
90.7,6.49,2.32
91.7,6.64,2.55
92.8,6.89,3.45
93.8,6.89,3.45
94.8,6.89,3.45
95.8,6.89,2.94
96.9,7.54,2.79
97.9,7.43,0.86
98.9,7.5,3.81
100.0,7.5,3.81
101.0,7.55,3.81
102.0,7.55,3.81
103.1,7.55,3.81
104.1,7.55,3.81
105.1,7.55,3.81
106.2,7.55,3.81
107.2,7.55,3.81
108.2,7.55,3.81
109.3,7.55,3.81
110.3,7.55,3.81
111.3,7.55,3.81
112.3,7.55,3.81
113.4,7.55,3.81
114.4,7.55,3.81
115.4,7.55,3.81
116.5,7.55,3.81
117.5,7.55,3.81
118.5,8.77,3.81
119.6,9.95,1.11
120.6,9.95,2.19
121.6,9.95,2.65
122.7,10.76,2.54
123.7,10.12,2.61
124.7,9.95,2.73
125.7,10.16,1.91
126.8,10.82,1.44
127.8,9.52,1.19
128.8,9.94,1.19
129.9,10.02,1.19
130.9,10.14,1.19
131.9,10.44,1.44
133.0,10.78,1.44
134.0,11.34,1.44
135.0,11.73,1.44
136.0,11.73,1.44
137.1,12.4,1.44
138.1,12.29,1.44
139.1,12.18,1.44
140.2,11.84,1.44
141.2,11.65,1.44
142.2,11.65,1.44
143.3,11.65,1.44
144.3,11.65,1.44
145.3,11.65,1.44
146.3,11.65,1.44
147.4,11.65,1.44
