# total_ram_gb=14.6
t,ram_gb,vram_gb
0.0,2.78,0.42
1.5,2.61,0.42
3.2,2.67,0.42
4.8,2.61,0.42
6.2,2.61,0.42
7.7,2.62,0.42
9.4,2.62,0.42
11.1,2.62,0.42
12.7,2.61,0.42
14.3,2.6,0.42
15.8,2.67,0.42
17.4,2.68,0.42
18.9,2.7,0.42
20.5,2.7,0.42
22.0,2.71,0.42
23.5,2.71,0.42
25.1,2.68,0.42
26.6,2.68,0.42
28.2,2.69,0.42
29.7,2.69,0.42
31.3,2.69,0.42
32.9,2.82,0.42
34.4,2.94,0.42
36.0,3.0,0.42
37.6,3.04,0.42
39.1,3.09,0.42
40.7,2.85,0.42
42.3,2.89,0.42
43.7,3.0,0.42
45.1,3.04,0.42
46.7,3.07,0.42
48.2,3.08,0.42
49.7,3.08,0.42
51.2,3.13,0.42
52.9,3.2,0.42
54.5,3.2,0.43
56.2,3.26,0.43
57.7,3.29,0.44
59.4,3.31,0.58
60.9,3.32,0.58
62.4,3.32,0.58
63.8,3.33,0.58
65.3,3.36,0.58
66.9,3.37,0.58
68.5,3.38,0.58
69.9,3.39,0.58
71.5,3.4,0.58
73.0,3.4,0.58
74.5,3.41,0.58
76.1,3.41,0.58
77.6,3.41,0.58
79.2,3.43,0.58
80.7,3.45,0.58
82.2,3.48,0.58
85.4,3.68,0.58
87.5,3.83,0.58
89.9,3.73,0.58
91.5,3.54,0.58
93.1,3.59,0.58
94.8,3.69,0.58
96.7,3.76,0.58
98.7,3.83,0.58
100.7,3.9,0.58
102.7,3.97,0.58
104.6,4.05,0.58
106.5,4.11,0.58
108.5,4.19,0.58
110.5,4.25,0.58
112.4,4.32,0.58
114.4,4.4,0.58
115.9,4.37,0.58
117.4,4.41,0.58
119.0,4.29,0.65
120.9,4.3,1.12
122.7,4.16,1.4
124.3,4.17,1.39
125.9,4.19,2.47
127.8,4.19,2.72
129.7,4.22,2.85
131.6,4.22,4.5
133.6,4.3,4.5
135.6,4.38,4.5
137.2,4.52,4.5
138.8,4.69,4.5
140.4,4.85,4.5
142.3,4.92,4.5
144.2,4.98,4.5
146.1,5.01,2.41
147.6,5.02,0.66
149.6,5.09,0.66
151.2,5.05,0.66
153.0,5.1,0.66
154.8,5.2,0.66
156.5,5.2,0.66
158.1,4.37,0.66
159.7,4.37,0.66
161.2,3.4,0.66
162.8,2.95,0.42
164.4,3.03,0.42
166.0,3.08,0.42
167.5,3.15,0.42
169.3,2.95,0.42
170.8,3.0,0.42
172.3,3.12,0.42
173.7,3.16,0.42
175.1,3.19,0.42
176.6,3.19,0.42
178.0,3.2,0.42
179.5,3.21,0.42
180.9,2.97,0.42
182.4,3.09,0.42
183.9,3.15,0.42
185.3,3.18,0.42
186.7,3.19,0.42
188.0,3.21,0.42
189.6,3.33,0.42
191.1,3.36,0.42
192.7,3.38,0.42
194.2,3.44,0.42
195.6,3.5,0.42
197.2,3.56,0.42
198.8,3.48,0.42
200.5,3.63,0.42
202.1,3.7,0.42
203.7,3.68,0.42
205.1,3.74,0.42
206.7,3.71,0.42
208.2,3.78,0.42
209.8,3.81,0.42
211.4,3.49,0.42
212.9,3.52,0.42
214.7,3.53,0.42
216.2,3.54,0.42
217.7,3.54,0.42
219.2,3.55,0.42
220.8,3.55,0.42
222.3,3.56,0.42
223.8,3.58,0.42
225.3,3.58,0.42
226.8,3.65,0.42
228.6,3.74,0.42
230.4,3.8,0.42
232.4,3.85,0.42
234.5,3.92,0.42
236.4,3.99,0.42
238.3,4.04,0.42
240.3,4.11,0.42
242.2,4.17,0.42
244.1,4.24,0.42
246.0,4.3,0.42
247.8,4.35,0.42
249.7,4.42,0.42
251.7,4.48,0.42
253.4,4.59,0.42
255.0,4.7,0.42
256.6,4.7,0.42
258.1,4.7,0.42
259.6,4.7,0.42
261.1,4.7,0.42
262.6,4.7,0.42
264.2,4.7,0.42
265.7,4.7,0.42
267.3,4.7,0.42
268.9,4.7,0.42
270.4,4.7,0.42
272.0,4.7,0.42
274.0,4.7,0.42
275.9,4.7,0.42
277.9,4.7,0.42
280.0,4.7,0.42
281.9,4.7,0.42
283.8,4.66,0.42
285.5,4.65,0.42
287.2,4.64,0.42
288.9,4.64,0.42
290.5,4.64,0.42
292.2,4.64,0.42
293.8,4.64,0.42
295.4,4.64,0.42
296.9,4.68,0.43
298.6,4.73,0.59
300.2,4.75,1.18
301.8,4.76,1.75
303.4,4.76,1.77
305.0,4.81,1.84
306.5,4.84,2.06
308.5,4.95,2.06
310.1,5.13,2.06
311.7,5.34,2.06
313.3,5.51,2.06
314.9,5.57,0.75
316.6,5.65,0.75
318.1,5.72,0.75
319.8,5.62,0.75
321.4,5.65,0.75
323.2,5.71,0.75
325.1,5.69,0.75
326.6,5.62,0.75
328.1,5.6,0.75
329.6,3.69,0.75
331.1,3.25,0.42
332.7,3.03,0.42
334.2,3.12,0.42
335.7,3.22,0.42
337.1,3.24,0.42
338.7,3.26,0.42
340.1,3.27,0.42
341.5,3.27,0.42
343.3,3.28,0.42
344.9,3.31,0.42
346.4,3.31,0.42
347.9,3.31,0.42
349.5,3.32,0.42
351.0,3.4,0.43
352.6,3.42,0.47
354.3,3.46,0.62
355.8,3.47,0.62
357.4,3.47,0.62
358.8,3.47,0.62
360.3,3.5,0.62
361.9,3.52,0.62
363.5,3.53,0.62
365.0,3.54,0.62
366.5,3.67,0.62
368.2,3.68,0.81
369.7,3.68,0.9
371.3,3.7,0.9
372.9,3.81,0.9
374.4,3.87,0.9
375.8,3.91,0.9
377.4,3.98,0.9
379.0,4.05,0.9
380.5,4.13,0.9
382.0,4.23,0.9
383.5,4.27,0.9
385.0,4.34,0.9
386.5,4.42,0.9
388.4,4.46,0.9
390.4,4.5,0.9
392.3,4.54,0.9
394.2,4.58,0.9
396.0,4.62,0.9
398.1,4.67,0.9
400.0,4.73,0.9
402.0,4.78,0.9
403.9,4.82,0.9
405.7,4.86,0.9
407.7,4.91,0.9
409.5,4.96,0.9
411.4,4.99,0.9
413.4,5.04,0.9
415.3,5.08,0.9
417.2,5.13,0.9
419.1,5.16,0.9
420.9,5.21,0.9
422.6,5.3,0.9
424.0,5.39,0.9
425.5,5.47,0.9
427.0,5.58,0.9
428.5,5.66,0.9
430.0,5.72,0.9
431.6,5.78,0.9
433.3,5.85,0.9
434.9,5.92,0.9
436.6,5.96,0.9
438.1,5.97,1.31
439.7,5.97,1.87
441.3,5.97,2.43
442.9,5.97,3.03
444.5,5.29,3.22
446.1,3.83,3.25
447.7,3.67,3.31
449.3,3.67,3.37
450.8,3.67,3.47
452.4,3.67,3.56
454.0,3.67,3.62
455.6,3.67,3.72
457.0,3.67,3.81
458.6,3.67,3.87
460.1,3.67,4.0
461.7,3.67,4.06
463.3,3.67,4.25
464.9,3.67,4.4
466.4,3.67,4.56
468.1,3.67,4.72
469.7,3.67,4.93
471.3,3.68,5.12
472.9,3.68,5.28
474.5,3.68,5.5
476.1,3.68,5.62
477.5,3.68,5.65
479.1,3.81,5.65
481.0,3.88,5.65
482.9,3.95,5.65
484.8,4.02,5.65
486.7,4.1,5.65
488.6,4.16,5.65
490.5,4.24,5.65
492.3,4.31,5.65
494.3,4.38,5.65
496.2,4.46,5.65
498.2,4.54,5.65
500.2,4.61,5.65
501.9,4.79,5.65
503.5,5.0,5.65
505.0,5.16,5.65
506.8,5.21,5.65
508.4,5.28,5.65
510.1,5.2,5.65
511.6,5.19,5.65
513.2,5.1,5.65
514.8,4.95,5.65
516.7,4.99,5.65
518.3,5.03,5.65
520.0,4.97,5.65
521.5,4.55,5.65
523.0,4.48,5.65
524.7,4.48,5.65
526.3,4.48,5.65
527.9,4.48,5.65
529.5,4.5,5.65
531.1,4.55,5.65
532.6,4.59,5.65
534.1,4.62,5.65
535.6,4.71,5.65
537.2,4.75,5.65
539.2,4.79,5.65
541.0,4.83,5.65
542.9,4.87,5.65
544.7,4.91,5.65
546.6,4.95,5.65
548.5,4.99,5.65
550.3,5.02,5.65
552.2,5.05,5.65
554.1,5.08,5.65
555.9,5.14,5.65
557.8,5.18,5.65
559.7,5.21,5.65
561.6,5.24,5.65
563.3,5.29,5.65
565.0,5.34,5.65
566.9,5.38,5.65
568.5,5.45,5.65
570.1,5.54,5.65
571.7,5.61,5.65
573.2,5.69,5.65
574.9,5.74,5.65
576.4,5.77,5.65
578.0,5.81,5.65
579.5,5.87,5.65
581.1,5.98,5.65
582.6,6.1,5.65
584.2,6.14,5.65
585.7,6.16,5.65
587.2,6.16,5.65
588.8,6.16,5.93
590.2,6.16,6.49
591.8,4.9,6.55
593.4,4.56,6.65
595.0,4.56,6.77
596.6,4.56,6.87
598.1,4.56,6.93
599.7,4.56,7.05
601.2,4.56,7.12
602.9,4.57,7.21
604.4,4.57,7.37
605.9,4.57,7.46
607.4,4.57,7.58
608.9,4.57,7.68
610.5,4.57,7.77
612.0,4.57,7.9
613.6,4.57,8.02
615.1,4.57,8.21
616.7,4.57,8.3
618.3,4.57,8.46
619.8,4.57,8.62
621.4,4.57,8.87
622.9,4.57,8.96
624.3,4.57,8.97
625.9,4.58,8.98
627.5,4.58,8.98
629.4,4.58,8.98
631.3,4.58,8.98
633.3,4.58,8.98
635.9,4.58,8.98
637.5,4.58,
640.7,4.58,8.98
642.2,4.58,8.98
643.7,4.58,8.98
645.3,4.58,8.98
646.9,4.58,8.98
648.5,4.58,8.98
650.7,4.58,6.57
652.3,4.59,4.19
653.8,4.59,4.04
655.4,4.59,4.1
656.9,4.59,4.13
658.5,4.59,4.13
660.2,4.59,4.13
661.7,4.59,4.13
663.3,4.59,4.13
664.9,4.59,4.13
666.5,4.59,4.13
668.1,4.59,4.13
669.6,4.59,4.13
671.2,4.59,4.13
672.7,4.59,4.13
674.6,4.59,4.13
676.1,4.59,4.13
677.7,4.59,4.13
679.3,4.59,4.13
680.9,4.59,4.13
682.4,4.59,4.13
684.0,4.59,1.63
685.5,4.59,1.63
686.9,4.59,1.63
688.5,4.59,1.63
690.0,4.59,1.63
691.5,4.59,1.88
693.1,4.59,1.88
694.7,4.59,1.92
696.2,4.59,1.92
697.7,4.6,1.92
699.2,4.6,1.92
700.7,4.6,1.92
702.2,4.6,1.92
703.8,4.62,1.92
705.3,4.6,1.92
706.9,4.61,1.92
708.4,4.61,1.92
709.9,4.62,1.92
711.4,4.6,1.92
712.9,4.6,1.92
714.5,4.61,1.92
716.0,4.6,1.92
717.6,4.6,1.92
719.1,4.6,1.92
720.7,4.6,1.92
722.1,4.61,1.92
723.7,4.6,1.95
725.2,4.6,1.95
726.7,4.62,1.95
728.2,4.61,1.95
729.7,4.61,1.95
731.2,4.61,1.95
732.8,4.61,1.95
734.3,4.62,1.95
735.8,4.61,1.95
737.2,4.61,1.95
738.7,4.61,1.95
740.2,4.61,1.95
741.7,4.64,1.95
743.3,4.74,1.95
745.1,4.74,1.95
746.6,4.74,1.95
748.5,4.77,1.95
750.5,4.8,1.95
752.6,4.81,1.95
754.2,4.81,1.95
755.9,4.81,1.95
757.5,4.81,1.95
759.4,4.81,1.95
760.9,4.81,1.95
762.8,4.81,1.95
764.3,4.83,1.95
766.2,4.83,1.95
767.8,4.83,1.95
769.7,4.83,1.95
771.2,4.84,1.95
773.0,4.84,1.95
774.8,4.84,1.95
776.6,4.84,1.95
778.4,4.84,1.95
780.3,4.84,1.95
781.8,4.84,1.95
783.3,4.84,1.95
785.1,4.86,1.95
786.9,4.84,2.01
788.4,4.84,2.01
790.1,4.84,2.01
791.8,4.84,2.01
793.3,4.86,2.01
795.1,4.84,2.01
796.8,4.84,2.01
798.5,4.85,2.01
800.1,4.84,2.01
801.8,4.85,2.01
803.3,4.85,2.01
804.7,4.86,2.02
806.4,4.85,2.02
807.9,4.85,2.11
809.6,4.87,0.98
811.3,4.89,0.89
813.2,4.93,0.83
815.1,4.97,0.83
816.7,4.96,0.83
818.2,4.89,0.83
819.8,4.88,0.83
821.3,4.62,0.83
823.1,3.09,0.42
825.1,2.99,0.42
826.6,3.0,0.42
828.2,3.01,0.42
829.7,3.01,0.42
831.3,3.01,0.42
833.0,3.02,0.42
834.5,3.03,0.42
836.1,3.07,0.42
837.6,3.1,0.42
839.0,3.14,0.42
840.5,3.18,0.42
841.9,3.19,0.42
843.4,3.2,0.42
844.9,3.21,0.42
846.5,3.2,0.42
847.9,3.21,0.42
849.5,3.22,0.42
850.9,3.23,0.42
852.3,3.3,0.42
853.9,3.3,0.42
855.5,3.31,0.42
857.0,3.32,0.42
858.7,3.32,0.42
860.2,3.33,0.42
861.8,3.34,0.42
863.4,3.34,0.42
864.9,3.34,0.42
866.4,3.35,0.42
867.9,3.35,0.42
869.5,3.41,0.43
871.1,3.44,0.58
872.6,3.51,0.75
874.2,3.59,0.75
875.7,3.67,0.95
877.3,3.74,1.13
878.9,3.78,0.79
880.4,3.78,0.69
882.0,3.78,0.69
883.6,3.78,0.68
885.2,3.78,0.73
886.7,3.78,0.69
888.2,3.78,0.7
889.7,3.75,0.65
891.3,3.74,0.65
892.8,3.74,0.65
894.4,3.45,0.65
896.3,3.01,0.42
897.9,3.03,0.42
899.4,3.02,0.42
900.9,3.04,0.42
902.5,3.05,0.42
904.0,3.05,0.42
905.6,3.06,0.42
907.2,3.06,0.42
908.7,3.06,0.42
910.2,3.07,0.42
911.7,3.07,0.42
913.3,3.08,0.42
914.9,3.08,0.42
916.3,3.08,0.42
917.8,3.08,0.42
919.4,3.08,0.42
920.9,3.09,0.42
922.4,3.09,0.42
923.9,3.09,0.42
925.5,3.1,0.42
927.0,3.16,0.42
928.6,3.09,0.42
930.1,3.01,0.42
931.6,2.9,0.42
933.3,3.05,0.42
934.9,2.91,0.42
936.5,2.92,0.42
938.0,2.92,0.42
939.5,2.92,0.42
940.9,2.92,0.42
942.4,2.92,0.42
943.9,2.92,0.42
945.4,2.92,0.42
946.8,2.92,0.42
948.3,2.92,0.42
949.7,2.96,0.42
951.2,2.95,0.42
