# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,11.96,0.42
1.0,11.96,0.42
2.1,11.96,0.42
3.1,11.96,0.42
4.1,11.96,0.42
5.1,11.96,0.42
6.2,11.96,0.42
7.2,11.96,0.42
8.2,12.0,0.42
9.3,12.0,0.42
10.3,12.0,0.42
11.3,12.0,0.42
12.3,12.0,0.42
13.4,12.0,0.42
14.4,12.0,0.42
15.4,12.0,0.42
16.5,12.0,0.42
17.5,12.0,0.42
18.5,12.0,0.42
19.6,12.0,0.42
20.6,12.01,0.42
21.6,12.01,0.42
22.7,12.01,0.42
23.7,12.01,0.42
24.7,12.01,0.42
25.8,12.01,0.42
26.8,12.01,0.42
27.8,12.01,0.42
28.9,12.01,0.42
29.9,12.01,0.42
31.0,12.01,0.42
32.0,12.01,0.42
33.0,12.01,0.42
34.1,12.01,0.42
35.1,12.01,0.42
36.2,12.01,0.42
37.2,12.01,0.42
38.2,12.01,0.42
39.3,12.01,0.42
40.3,12.01,0.42
41.3,12.01,0.42
42.4,12.01,0.42
43.4,12.01,0.42
44.4,12.01,0.42
45.5,12.01,0.42
46.5,12.01,0.42
47.6,12.01,0.42
48.6,12.01,0.42
49.6,12.01,0.42
50.7,12.01,0.42
51.7,12.01,0.42
52.7,12.01,0.42
53.8,12.01,0.42
54.8,12.01,0.42
55.9,12.01,0.42
56.9,12.01,0.42
57.9,12.01,0.42
59.0,12.01,0.42
60.0,12.01,0.42
61.1,12.01,0.42
62.1,12.01,0.42
63.1,12.01,0.42
64.2,12.01,0.42
65.2,12.01,0.42
66.2,12.01,0.42
67.3,12.01,0.42
68.3,12.01,0.42
69.4,12.01,0.42
70.4,12.01,0.42
71.4,12.01,0.42
72.5,12.01,0.42
73.5,12.08,0.42
74.5,2.29,0.22
75.6,2.76,0.22
76.6,2.9,0.22
77.6,3.18,0.33
78.7,3.35,0.33
79.7,3.38,0.33
80.7,4.35,0.35
81.8,4.79,0.35
82.8,5.35,0.35
83.8,4.55,2.56
84.8,4.54,2.56
85.9,4.55,3.13
86.9,4.55,3.13
87.9,4.55,3.42
88.9,4.55,3.43
90.0,4.55,3.43
91.0,4.55,3.43
92.0,4.55,3.43
93.1,4.55,3.43
94.1,4.55,3.43
95.1,4.56,3.43
96.1,4.56,3.43
97.2,4.56,3.43
98.2,4.59,3.43
99.2,4.59,3.43
100.2,4.59,3.43
101.3,4.59,3.43
102.3,4.59,3.43
103.3,4.59,3.43
104.3,4.62,3.43
105.4,4.62,3.43
106.4,4.59,3.43
107.4,4.6,3.43
108.4,4.6,0.91
109.5,5.23,0.55
110.5,5.16,1.56
111.5,7.16,2.81
112.6,5.83,2.95
113.6,5.91,2.96
114.6,5.91,2.96
115.6,5.91,2.96
116.7,5.91,2.96
117.7,7.0,2.96
118.7,8.52,0.43
119.8,9.31,0.43
120.8,9.98,0.43
121.8,10.68,0.43
122.8,9.38,1.3
123.9,8.73,1.62
124.9,8.75,1.62
125.9,8.75,1.62
126.9,8.75,1.66
128.0,8.78,1.76
129.0,8.78,1.76
130.0,8.83,1.6
131.1,9.41,1.89
132.1,9.37,1.39
133.1,10.92,0.46
134.1,11.07,0.46
135.2,11.59,0.46
136.2,12.66,0.46
137.2,10.5,1.89
138.2,10.73,0.56
139.3,10.94,0.84
140.3,10.94,0.84
141.3,10.95,0.47
142.3,11.02,0.43
143.4,10.27,0.32
144.4,10.41,0.32
145.4,10.67,0.43
146.4,10.84,0.43
147.5,10.85,0.43
148.5,10.85,0.43
149.5,10.86,0.43
150.5,10.86,0.43
151.6,10.86,0.43
152.6,10.85,0.43
153.6,10.85,0.43
154.6,10.85,0.43
155.7,10.85,0.43
156.7,10.85,0.43
