# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,16.21,1.57
1.2,15.39,1.58
2.3,15.39,1.58
3.4,15.39,1.58
4.6,15.39,1.58
5.7,15.39,1.58
6.9,15.39,1.58
8.0,14.61,2.56
9.1,15.4,1.6
10.3,13.34,3.91
11.4,12.93,4.41
12.5,12.93,4.41
13.7,12.93,4.41
14.8,12.93,4.41
16.0,12.93,4.41
17.1,15.34,1.92
18.3,14.06,1.92
19.4,14.92,2.79
20.5,15.75,3.64
21.7,14.85,4.1
22.8,13.84,4.47
24.0,13.84,4.47
25.1,13.84,4.47
26.3,13.84,4.47
27.4,13.84,4.47
28.5,13.84,4.48
29.7,13.84,4.48
30.8,16.11,1.64
32.0,15.39,2.78
33.1,15.39,3.03
34.2,15.39,3.03
35.4,15.4,3.03
36.5,15.4,3.03
37.6,15.41,3.03
38.8,15.44,3.03
39.9,15.41,3.03
41.1,15.41,3.03
42.2,15.41,3.03
43.4,15.41,3.03
44.5,15.42,3.03
45.6,15.43,3.03
46.8,15.42,3.03
47.9,15.42,3.03
49.0,15.42,3.03
50.2,15.42,3.03
51.3,15.43,2.81
52.4,15.43,2.81
53.6,15.43,2.81
54.7,15.43,3.06
55.9,15.43,3.06
57.0,15.43,3.03
58.1,15.43,3.03
59.3,15.43,3.03
60.4,15.43,3.01
61.6,15.43,3.01
62.7,15.43,3.01
63.9,15.44,3.03
65.0,15.44,3.21
66.1,15.44,3.21
67.3,15.53,3.64
68.4,15.91,3.4
69.6,15.01,3.26
70.7,13.92,5.75
71.9,13.92,5.75
73.0,13.92,5.75
74.1,13.92,5.75
75.3,13.92,5.75
76.4,13.92,5.75
77.5,13.92,5.75
78.7,13.92,5.75
79.8,13.92,5.75
80.9,13.92,5.75
82.0,13.92,5.75
83.2,13.92,5.75
84.3,13.92,5.75
85.5,13.92,5.75
86.6,13.92,5.75
87.7,13.92,5.75
88.9,13.92,5.75
90.0,13.92,5.75
91.1,13.92,5.75
92.3,13.92,5.75
93.4,13.92,5.75
94.6,13.92,5.75
95.7,13.92,5.75
96.8,13.92,5.75
98.0,13.92,5.75
99.1,13.92,5.75
100.2,13.92,5.75
101.4,13.92,5.75
102.5,13.92,5.75
103.6,13.92,5.75
104.8,13.92,5.75
105.9,13.92,5.75
107.0,13.92,5.75
108.2,13.92,5.75
109.3,15.29,5.75
110.4,15.44,2.77
111.6,15.44,3.35
112.7,16.83,3.8
113.9,17.13,3.47
115.0,17.07,3.86
116.2,16.76,3.13
117.3,16.95,5.14
118.5,17.18,3.65
119.6,17.95,5.14
120.8,17.45,3.25
121.9,16.95,2.92
123.1,17.29,5.14
124.3,18.01,4.09
125.5,18.87,3.26
126.6,19.38,4.13
127.8,17.51,3.35
129.0,17.72,3.2
130.1,18.51,3.57
131.3,18.56,4.13
132.4,16.59,3.23
133.6,16.67,3.09
134.7,17.37,3.94
135.8,18.85,1.66
137.0,19.29,1.66
138.1,19.44,1.66
139.3,19.87,1.66
140.4,20.59,1.66
141.6,21.58,1.66
142.7,21.97,1.66
143.8,22.78,1.66
145.0,21.62,2.73
146.1,19.26,2.73
147.3,19.21,2.73
148.4,19.21,2.73
149.6,19.21,2.73
150.7,19.21,2.73
151.9,19.22,2.73
153.0,19.22,2.73
154.2,19.23,2.73
155.3,19.24,2.73
156.4,19.24,2.73
157.6,19.25,2.73
158.7,19.25,2.73
159.8,19.26,2.73
161.0,19.26,2.73
162.1,19.27,2.73
163.3,19.27,2.73
164.4,19.28,2.73
165.6,19.28,2.73
166.7,19.29,2.73
167.9,19.3,2.73
169.0,19.3,2.73
170.1,19.31,2.73
171.3,19.31,2.73
172.4,19.32,2.73
173.5,19.32,2.73
174.7,19.33,2.73
175.8,19.33,2.73
176.9,19.34,2.73
178.1,19.34,2.73
179.2,19.35,2.73
180.4,19.36,2.73
181.5,19.36,2.73
182.7,19.36,2.73
183.8,19.37,2.73
184.9,19.38,2.73
186.1,19.38,2.73
187.2,19.39,2.73
188.3,19.48,2.73
189.5,19.4,2.73
190.6,19.05,3.91
191.7,18.8,4.62
192.9,18.8,4.62
194.0,18.8,4.62
195.1,18.8,4.62
196.3,18.8,4.62
197.4,18.8,4.62
198.6,18.8,4.62
199.7,17.64,3.33
200.9,17.7,3.24
202.0,16.98,3.25
203.2,17.06,3.25
204.3,17.13,3.25
205.5,17.13,3.25
206.6,17.13,3.25
207.8,17.08,3.25
208.9,14.04,1.4
210.0,14.42,1.4
211.2,14.48,1.4
212.3,14.51,1.4
213.5,14.56,1.4
214.6,14.74,1.65
215.7,14.78,1.65
216.8,14.86,1.65
218.0,14.94,1.65
219.1,15.01,1.65
220.2,14.69,1.65
221.4,14.04,1.65
222.5,14.04,1.65
