# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,17.87,1.36
1.1,17.87,1.36
2.3,17.87,1.36
3.4,17.87,1.36
4.5,17.87,1.36
5.7,17.87,1.36
6.8,17.93,1.36
7.9,16.77,2.69
9.1,16.73,2.78
10.2,15.4,4.19
11.4,15.4,4.19
12.5,15.4,4.19
13.6,15.4,4.19
14.8,15.4,4.19
15.9,17.18,4.19
17.0,15.45,2.53
18.2,13.91,4.27
19.3,13.91,4.28
20.4,13.91,4.28
21.6,13.91,4.28
22.7,13.91,4.28
23.8,13.91,4.29
24.9,13.91,4.29
26.1,14.01,4.29
27.2,15.9,2.11
28.3,15.44,2.56
29.5,15.44,2.81
30.6,15.44,2.81
31.7,15.44,2.81
32.9,15.44,2.82
34.0,15.44,2.82
35.2,15.44,2.82
36.3,15.44,2.82
37.4,15.44,2.82
38.5,15.46,2.86
39.7,15.98,3.09
40.8,15.55,2.48
42.0,13.91,7.59
43.1,13.91,7.59
44.3,13.91,7.59
45.4,13.91,7.59
46.6,13.91,7.59
47.7,13.91,7.59
48.8,13.91,7.59
50.0,13.91,7.59
51.1,13.91,7.59
52.2,13.91,7.59
53.3,13.91,7.59
54.5,13.91,7.59
55.6,13.91,7.59
56.7,13.91,7.59
57.9,13.91,7.59
59.0,13.91,7.59
60.1,13.91,7.59
61.3,13.91,7.59
62.4,13.91,7.59
63.5,13.91,7.59
64.7,13.91,7.59
65.8,13.91,7.59
66.9,13.91,7.59
68.1,13.91,7.59
69.2,13.91,7.59
70.3,13.91,7.59
71.5,13.91,7.59
72.6,13.91,7.59
73.7,13.91,7.59
74.9,13.91,7.59
76.0,13.91,7.59
77.1,13.91,7.59
78.3,13.91,7.59
79.4,13.91,7.59
80.6,13.91,7.59
81.7,13.91,7.59
82.8,13.91,7.59
84.0,13.91,7.59
85.1,13.91,7.59
86.2,13.91,7.59
87.3,13.91,7.59
88.5,13.91,7.59
89.6,13.91,7.59
90.8,13.91,7.59
91.9,13.91,7.59
93.0,13.91,7.59
94.1,13.91,7.59
95.3,13.91,7.59
96.4,13.91,7.59
97.5,13.91,7.59
98.7,13.91,7.59
99.8,13.91,7.59
100.9,13.91,7.59
102.1,13.91,7.59
103.2,13.91,7.59
104.3,13.91,7.59
105.5,13.91,7.59
106.6,13.91,7.59
107.7,13.91,7.59
108.9,13.91,7.59
110.0,13.91,7.59
111.1,13.91,7.59
112.3,13.91,7.59
113.4,13.91,7.59
114.5,13.91,7.59
115.7,13.91,7.59
116.8,13.91,7.59
117.9,13.91,7.59
119.1,13.91,7.59
120.2,13.91,7.59
121.3,13.91,7.59
122.5,13.91,7.59
123.6,13.91,7.59
124.7,13.91,7.59
125.9,13.91,7.59
127.0,13.91,7.59
128.1,13.91,7.59
129.3,13.91,7.59
130.4,13.91,7.59
131.6,13.91,7.59
132.7,13.91,7.59
133.8,13.91,7.59
134.9,13.91,7.59
136.1,13.91,7.59
137.2,13.91,7.59
138.3,13.91,7.59
139.5,13.91,7.59
140.6,13.91,7.59
141.7,13.91,7.59
142.9,13.91,7.59
144.0,13.91,7.59
145.1,13.91,7.59
146.2,13.91,7.59
147.4,13.91,7.59
148.5,13.91,7.59
149.6,13.91,7.59
150.8,13.91,7.59
151.9,13.91,7.59
153.0,13.91,7.59
154.2,13.91,7.59
155.3,13.91,7.59
156.4,13.91,7.59
157.6,13.91,7.59
158.7,13.91,7.59
159.8,13.91,7.59
161.0,13.91,7.59
162.1,13.91,7.59
163.2,15.36,7.59
164.4,15.44,2.78
165.5,15.44,2.78
166.6,15.44,2.78
167.8,15.44,2.78
168.9,15.44,2.78
170.1,15.44,3.15
171.2,15.44,3.15
172.3,15.44,3.15
173.5,15.44,3.15
174.6,15.44,3.15
175.7,15.44,3.15
176.8,15.44,3.15
178.0,15.44,3.15
179.1,15.44,3.15
180.3,15.44,3.15
181.4,15.44,3.15
182.5,15.44,3.15
183.7,15.44,3.15
184.8,15.44,3.15
185.9,15.44,3.15
187.0,15.44,3.15
188.2,15.44,3.15
189.3,15.44,3.15
190.5,15.85,3.1
191.6,15.44,3.35
192.7,15.44,3.35
193.9,15.44,3.35
195.0,15.44,3.35
196.1,15.44,3.35
197.3,15.44,4.01
198.4,15.44,4.01
199.6,15.44,4.01
200.7,15.44,4.01
201.8,15.44,4.01
202.9,15.44,4.01
204.1,15.44,4.01
205.2,15.44,4.01
206.4,15.44,4.01
207.5,15.44,4.01
208.6,15.44,4.01
209.8,15.44,4.01
210.9,15.44,4.01
212.0,15.44,4.01
213.1,15.44,4.01
214.3,15.44,4.01
215.4,15.44,4.01
216.5,15.99,3.14
217.7,15.92,3.62
218.8,15.93,6.8
220.0,16.33,2.91
221.1,16.08,7.21
222.3,15.93,7.21
223.4,16.18,3.1
224.6,15.93,7.21
225.7,15.93,7.21
226.8,16.18,3.29
228.0,15.71,7.21
229.1,15.93,7.21
230.3,16.43,3.22
231.4,15.8,7.21
232.5,16.42,3.25
233.7,16.42,3.25
234.8,16.84,4.24
236.0,17.41,4.01
237.2,16.33,3.39
238.3,16.64,2.91
239.5,17.56,2.91
240.7,15.95,4.01
241.9,16.74,3.2
243.0,17.63,4.01
244.2,18.73,6.16
245.3,16.84,2.91
246.5,17.63,4.01
247.6,18.73,6.16
248.8,16.73,3.2
250.0,17.63,4.01
251.1,18.73,6.16
252.2,16.82,2.91
253.4,17.63,4.01
254.5,18.73,6.16
255.7,16.85,8.35
256.8,18.78,3.15
258.0,20.31,4.05
259.1,22.05,5.6
260.3,17.79,5.6
261.5,20.05,5.6
262.8,21.5,3.39
263.9,24.57,3.39
265.2,21.62,5.85
266.4,22.48,3.15
267.5,23.11,3.15
268.7,23.94,3.87
269.9,24.61,3.92
271.0,23.93,5.6
272.2,19.94,5.6
273.3,20.56,3.27
274.5,23.36,5.72
275.6,20.27,4.13
276.7,20.27,4.26
277.9,20.27,4.42
279.0,21.67,1.48
280.1,23.57,1.48
281.3,24.72,1.48
282.4,25.39,1.48
283.6,21.88,1.48
284.8,21.88,1.48
285.9,21.93,1.48
287.1,21.99,1.48
288.2,21.81,1.48
289.4,22.36,1.48
290.5,23.15,1.48
291.6,21.7,1.48
292.8,23.32,1.48
293.9,22.69,1.48
295.1,23.67,1.48
296.3,22.51,1.48
297.4,22.91,1.48
298.6,23.19,1.48
299.8,18.4,2.27
301.0,19.9,3.86
302.2,17.79,3.86
303.4,17.75,3.86
304.5,17.75,3.86
305.7,17.75,3.86
306.8,17.76,3.86
308.0,17.76,3.86
309.1,17.76,3.86
310.2,17.76,3.86
311.4,17.76,3.86
312.5,17.76,3.86
313.6,17.76,3.86
314.8,17.76,3.86
315.9,17.77,3.86
317.1,17.78,3.86
318.2,17.8,3.86
319.4,17.81,3.86
320.5,17.81,3.86
321.6,17.83,3.86
322.8,17.84,3.86
323.9,17.85,3.86
325.0,17.86,3.86
326.2,17.87,3.86
327.3,17.88,3.86
328.4,17.89,3.86
329.6,17.91,3.86
330.7,17.91,3.86
331.8,17.92,3.86
333.0,17.94,3.86
334.1,17.95,3.86
335.3,17.83,3.86
336.4,17.83,3.86
337.5,17.84,3.86
338.7,17.85,3.86
339.8,17.86,3.86
340.9,17.87,3.86
342.1,17.88,3.86
343.2,17.89,3.86
344.3,17.9,3.86
345.5,17.91,3.86
346.6,17.92,3.86
347.8,17.93,3.86
348.9,17.94,3.86
350.0,17.95,3.86
351.2,17.97,3.86
352.3,17.97,3.86
353.5,17.99,3.86
354.6,18.0,3.86
355.7,18.01,3.86
356.9,18.02,3.86
358.0,18.02,3.86
359.2,18.02,3.86
360.3,18.03,3.86
361.4,18.35,3.86
362.6,18.06,3.86
363.7,18.07,3.86
364.9,18.08,3.86
366.0,18.09,3.86
367.2,18.1,3.86
368.3,18.11,3.86
369.4,18.12,3.86
370.6,18.13,3.86
371.7,18.14,3.86
372.8,18.15,3.86
374.0,18.16,3.86
375.1,18.17,3.86
376.3,18.18,3.86
377.4,18.2,3.86
378.6,18.21,3.86
379.7,18.21,3.86
380.8,18.21,3.86
382.0,18.22,3.86
383.1,18.23,3.86
384.2,18.24,3.86
385.4,18.13,3.86
386.5,18.13,3.86
387.6,18.15,3.86
388.8,18.16,3.86
389.9,18.17,3.86
391.0,18.18,3.86
392.2,18.19,3.86
393.3,18.2,3.86
394.5,18.21,3.86
395.6,18.22,3.86
396.7,18.23,3.86
397.9,18.24,3.86
399.0,18.26,3.86
400.2,18.27,3.86
401.3,18.27,6.86
402.5,16.92,7.23
403.6,16.92,7.23
404.8,16.92,7.23
405.9,16.92,7.23
407.0,16.92,7.23
408.1,16.92,7.23
409.3,16.92,7.23
410.4,16.92,7.23
411.5,15.87,7.23
412.7,15.87,7.23
413.8,15.87,7.23
414.9,15.87,7.23
416.1,15.87,7.23
417.2,12.88,3.61
418.4,12.94,3.58
419.5,12.98,3.59
420.6,13.1,3.59
421.8,13.14,3.59
422.9,13.14,3.59
424.1,13.14,3.59
425.2,13.02,3.46
426.3,10.02,1.47
427.5,7.74,1.22
428.6,8.13,1.22
429.7,8.17,1.22
430.9,8.21,1.22
432.0,8.25,1.22
433.1,8.43,1.47
434.3,8.49,1.47
435.4,8.56,1.47
436.5,8.65,1.47
437.7,8.67,1.47
438.8,8.71,1.47
439.9,8.86,1.47
441.1,8.86,1.47
442.2,8.86,1.5
