# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,11.05,0.36
1.5,11.07,0.37
3.2,11.18,0.38
4.6,11.21,0.38
5.8,11.27,0.39
7.1,11.29,0.39
8.4,11.43,0.52
9.6,11.47,0.52
10.8,11.49,0.52
12.1,11.5,0.58
13.3,11.53,0.6
14.6,11.55,0.6
15.9,11.57,0.61
17.2,11.57,0.61
18.6,11.69,0.6
19.9,11.73,0.6
21.1,11.94,0.6
22.5,12.07,0.6
23.7,12.12,0.6
25.0,12.06,0.59
26.2,12.03,0.6
27.5,12.05,0.59
28.7,12.06,0.61
30.2,12.1,0.61
31.6,12.13,0.75
32.9,12.14,0.75
34.1,12.16,0.75
35.4,12.19,0.75
36.6,12.19,0.75
38.0,12.21,0.75
39.3,12.22,0.75
40.5,12.2,0.75
41.8,12.21,0.75
43.2,12.35,0.75
47.2,12.67,
55.6,13.33,0.75
57.2,13.28,0.75
58.6,13.19,0.75
60.0,12.91,0.75
61.2,12.68,0.75
62.5,12.54,0.75
63.8,12.95,0.75
65.0,14.34,0.75
66.3,13.38,1.1
67.5,12.6,1.82
68.8,12.43,1.92
70.1,12.51,1.88
71.3,12.56,1.88
72.6,12.63,1.89
73.9,12.75,1.93
75.2,12.76,1.93
76.5,12.77,1.96
77.8,12.78,1.9
79.0,12.79,1.9
80.4,12.8,1.9
81.7,12.79,1.9
83.0,12.8,1.89
84.2,12.79,1.89
85.5,12.8,1.89
86.8,12.77,1.89
88.1,12.78,1.89
89.3,12.79,1.89
90.6,12.78,1.89
92.0,12.95,1.89
93.4,12.93,1.89
94.9,12.89,
106.9,14.41,1.9
109.6,14.65,1.89
111.7,14.83,1.89
113.1,15.1,1.89
115.4,15.1,1.89
116.8,15.16,1.89
118.1,15.14,1.89
119.5,15.12,1.89
121.0,15.14,1.89
122.4,15.13,1.89
123.8,15.05,1.89
125.2,15.02,1.89
126.4,14.98,1.89
127.8,14.93,1.89
129.0,14.88,1.89
130.3,14.85,1.89
131.9,14.52,1.89
133.7,14.46,1.89
135.0,13.31,1.89
136.7,13.41,1.9
138.8,13.51,1.89
140.1,13.6,1.89
141.9,13.73,1.9
143.4,14.01,1.89
144.8,14.24,1.9
146.0,14.22,1.89
147.3,14.2,1.9
148.5,14.17,1.89
149.8,14.16,1.9
151.1,14.13,1.89
152.4,13.22,1.9
153.6,13.08,1.89
154.8,12.92,1.9
157.9,13.2,1.89
160.1,13.57,1.89
162.8,13.72,1.9
164.8,14.08,
168.6,14.59,1.9
170.1,14.81,1.89
174.7,15.28,1.9
176.0,15.21,1.89
177.2,15.33,1.9
178.5,15.31,1.89
179.7,15.31,1.9
181.1,15.28,1.89
182.4,15.24,1.9
183.7,15.18,1.89
185.0,15.16,1.9
186.4,13.84,1.89
187.8,13.92,1.89
189.0,13.87,1.89
190.3,13.86,1.89
191.6,13.82,1.89
192.8,13.12,1.89
195.8,13.31,1.89
197.3,13.35,1.9
199.3,13.6,1.89
200.8,13.81,1.9
202.2,13.99,1.89
204.4,14.42,1.9
208.0,14.72,1.89
210.4,15.05,1.89
212.4,15.21,1.89
213.9,15.37,1.89
215.2,15.37,1.89
216.5,15.34,1.89
217.8,15.34,1.89
219.2,15.32,1.89
220.6,15.31,1.89
222.0,15.27,1.89
223.4,15.3,1.89
224.9,15.29,1.89
227.1,15.28,1.9
228.9,15.13,1.89
230.3,15.05,1.9
231.6,13.72,1.89
232.9,13.66,1.9
234.2,13.63,1.89
235.4,13.27,1.9
236.7,13.31,1.89
238.3,13.36,1.9
239.7,13.44,1.89
241.1,13.46,
245.9,13.73,1.89
247.4,13.68,1.89
248.7,13.73,1.89
250.0,13.73,1.89
251.3,13.67,1.89
252.6,13.7,1.89
253.9,12.97,1.89
255.2,13.02,1.9
256.7,13.2,1.89
258.1,13.34,1.89
259.3,13.53,1.89
260.9,13.77,1.89
262.4,13.96,1.89
263.9,14.19,1.89
266.1,14.34,1.89
267.5,14.51,1.89
269.1,14.7,1.89
271.6,15.04,1.89
273.3,15.33,1.89
274.6,15.4,1.89
275.8,15.33,1.89
277.1,15.32,1.89
278.4,15.46,1.89
279.7,15.45,1.89
280.9,15.43,1.89
282.3,15.4,1.89
283.8,15.34,1.89
285.1,15.28,1.89
286.3,15.2,1.89
287.6,15.14,1.89
288.9,15.09,1.89
290.1,15.08,1.89
291.4,15.01,1.89
292.6,14.94,1.89
293.9,14.86,1.89
295.1,14.83,1.89
296.4,13.97,1.89
297.7,13.33,1.89
299.1,13.52,1.89
300.5,13.67,1.9
302.0,13.76,1.89
303.6,13.85,1.9
305.1,13.96,1.89
306.8,14.25,1.89
308.4,14.36,1.89
310.2,14.48,1.9
312.1,14.67,1.89
314.3,14.97,1.9
316.0,15.29,1.89
317.5,15.18,1.9
318.9,15.32,1.89
320.2,15.3,1.9
321.7,15.27,1.89
323.0,15.26,1.9
324.4,15.23,1.89
325.7,15.22,1.9
327.0,15.19,1.89
328.3,15.12,1.9
329.6,15.08,1.89
330.8,15.02,1.9
332.1,14.98,1.89
333.3,14.9,1.9
334.6,14.84,1.89
335.9,14.75,1.9
337.2,14.72,1.89
338.4,14.65,1.9
339.7,13.15,1.9
340.9,13.18,2.16
342.3,13.57,2.65
343.5,14.07,3.22
344.8,14.58,3.71
346.0,15.03,4.15
347.3,14.2,4.3
348.5,12.84,4.46
349.8,12.9,4.46
351.1,12.9,4.46
352.3,12.89,4.46
353.6,12.89,4.46
354.9,12.89,4.46
356.1,12.88,4.46
357.3,12.88,4.46
358.6,12.88,4.52
360.1,12.87,4.55
361.4,12.86,4.57
362.7,12.86,4.59
364.0,12.86,4.6
365.3,12.86,4.59
366.5,12.85,4.62
367.8,12.85,4.65
369.1,12.84,4.66
370.4,12.84,4.65
371.6,12.83,4.65
372.9,12.83,4.65
374.1,12.83,4.65
375.4,12.83,4.65
376.7,12.81,4.65
377.9,12.81,4.65
379.1,12.81,4.65
380.4,12.86,4.65
381.8,13.66,4.65
383.0,14.17,4.65
384.5,14.49,4.65
385.8,14.81,4.65
387.3,15.16,1.94
388.6,15.16,1.93
389.8,15.23,1.94
391.1,15.4,1.93
392.4,15.15,2.25
393.7,15.38,1.93
395.0,15.39,1.9
396.3,15.7,2.31
397.6,16.24,2.84
398.8,16.76,3.37
400.1,17.2,3.81
401.4,17.7,4.3
402.6,15.49,4.3
403.9,15.4,4.49
405.1,15.43,4.49
406.5,15.43,4.49
407.8,15.41,4.49
409.0,15.43,4.49
410.3,15.43,4.49
411.5,15.43,4.55
412.7,15.43,4.58
414.0,15.43,4.58
415.3,15.5,4.59
416.6,15.51,4.59
417.9,15.52,4.62
419.1,15.51,4.62
420.4,15.52,4.62
421.7,15.51,4.62
423.0,15.52,4.62
424.3,15.51,4.62
425.5,15.52,4.62
426.8,15.51,4.62
428.1,15.52,4.62
429.4,15.52,4.62
430.7,15.53,4.62
431.9,15.52,4.62
433.2,15.52,4.62
434.4,15.52,4.62
435.7,15.53,4.62
437.1,15.53,4.62
438.3,15.52,4.62
439.6,15.53,4.63
440.8,15.53,4.62
442.1,15.52,4.63
443.3,15.52,4.62
444.6,15.54,4.62
445.8,15.54,4.62
447.1,15.53,4.62
448.3,15.53,4.62
449.6,15.54,4.62
450.9,15.78,4.62
452.1,16.13,4.62
453.4,16.52,4.62
454.7,17.08,4.62
455.9,17.48,4.62
457.2,17.82,4.62
458.5,17.91,1.93
459.9,18.0,1.94
461.3,18.12,1.93
462.6,18.24,1.93
463.9,18.35,1.93
465.3,18.47,1.93
466.6,18.58,1.93
468.0,18.71,1.93
469.3,18.82,1.93
470.6,18.95,1.93
471.9,19.05,1.93
473.3,19.14,1.93
474.7,19.23,1.93
476.0,19.3,1.93
477.3,19.4,1.93
478.6,19.49,1.93
479.9,19.56,1.93
481.1,19.64,1.93
482.4,19.71,1.93
483.7,19.77,1.93
485.1,19.27,1.93
486.4,19.12,1.93
487.7,19.32,1.93
489.0,19.44,1.93
490.2,19.69,1.93
491.5,20.09,1.93
492.8,19.96,1.93
494.1,20.11,1.93
495.4,20.28,1.93
496.6,20.41,1.93
497.9,20.54,1.93
499.3,18.94,2.21
500.6,18.32,2.8
501.9,18.3,2.87
503.1,18.3,2.87
504.4,18.31,2.87
505.7,18.33,3.12
507.0,18.31,3.12
508.4,18.32,3.12
509.7,18.34,3.12
511.0,18.36,3.12
512.3,18.37,3.12
513.5,18.36,3.12
514.9,18.34,3.12
516.2,18.34,3.12
517.5,18.35,3.12
518.9,18.34,3.12
520.3,18.36,3.12
521.8,18.35,3.12
523.1,18.35,3.12
524.3,18.35,3.12
525.6,18.36,3.12
527.5,18.35,3.13
528.8,18.37,3.12
530.1,18.36,3.13
531.4,18.37,3.12
532.7,18.35,3.12
534.4,18.38,3.12
535.6,18.37,3.12
537.0,18.37,3.12
538.9,18.36,3.12
540.3,18.38,3.12
542.4,18.35,3.12
544.8,18.36,
549.1,18.42,3.22
551.3,18.44,
557.9,18.47,3.24
559.1,18.48,3.25
560.6,18.48,3.24
561.9,18.51,3.24
563.2,18.52,3.24
564.6,18.53,3.25
566.1,18.53,3.24
567.5,18.55,3.24
569.2,18.56,3.34
570.8,18.58,
577.4,18.61,
581.5,18.63,
587.2,18.64,4.3
588.4,18.65,4.3
589.7,18.66,4.34
591.0,18.67,4.34
592.3,18.67,4.34
593.8,18.67,4.34
