# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,23.31,2.75
1.4,23.29,2.75
2.6,23.33,2.7
3.9,23.35,2.7
5.2,23.4,2.7
6.5,23.42,2.7
7.9,23.45,2.7
9.1,23.48,2.7
10.4,23.56,2.7
11.7,23.86,2.69
13.1,24.32,3.02
14.4,24.67,3.01
15.8,24.09,2.69
17.2,24.03,2.63
18.5,24.01,2.63
19.8,24.0,2.59
21.3,23.24,2.58
22.8,23.16,2.57
25.3,23.18,2.69
26.6,23.2,2.69
27.9,23.19,2.69
29.1,23.21,2.75
30.4,23.21,2.75
31.7,23.22,2.77
33.1,23.21,2.77
34.4,23.22,2.77
35.7,22.94,2.78
36.9,23.03,2.78
38.3,23.0,0.97
39.6,20.47,0.96
40.9,16.98,0.96
42.2,15.15,0.96
43.5,15.23,0.96
44.8,15.27,0.96
46.1,15.28,0.96
47.4,15.29,0.96
48.7,15.3,0.96
50.0,15.3,0.96
51.4,15.24,0.96
52.7,15.26,0.96
54.0,15.32,0.97
55.7,15.35,1.11
57.1,15.35,1.11
58.4,15.37,1.11
59.7,15.36,1.11
61.1,15.39,1.11
62.5,15.4,1.11
63.8,15.41,1.11
65.1,15.44,1.12
66.4,15.52,1.11
67.7,15.68,1.12
69.1,15.89,1.11
70.4,16.11,1.12
71.7,16.35,1.11
73.1,16.45,1.12
74.4,16.65,1.11
75.7,16.78,1.12
77.0,16.97,1.11
78.3,17.15,1.12
79.7,17.39,1.11
81.3,17.54,1.12
82.6,17.67,1.11
83.9,16.65,1.16
85.2,16.08,1.91
86.5,15.45,2.23
87.8,15.75,2.26
89.1,15.89,2.29
90.4,15.94,2.33
91.8,15.96,2.26
93.2,15.97,2.26
94.5,15.98,2.26
95.8,15.98,2.26
97.1,15.99,2.26
98.4,16.03,2.35
99.7,16.26,2.54
101.0,16.35,2.64
102.3,16.45,2.76
103.7,16.56,2.86
104.9,16.67,2.97
106.3,16.85,3.19
107.6,17.02,3.32
