# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,14.99,1.16
1.1,2.08,1.02
2.3,2.13,1.02
3.4,2.17,1.03
4.6,2.21,1.06
5.7,2.26,1.31
6.8,1.95,1.32
8.0,1.45,1.07
9.1,1.55,1.07
10.3,1.58,1.07
11.4,1.63,1.07
12.5,1.74,1.32
13.7,1.79,1.32
14.8,1.84,1.32
15.9,1.95,1.32
17.1,2.2,1.32
18.2,2.33,1.32
19.3,2.36,1.32
20.5,2.36,1.32
21.6,1.99,1.37
22.8,2.91,1.37
24.0,3.51,1.37
25.1,2.18,2.0
26.2,2.17,5.12
27.4,2.22,5.12
28.5,2.23,5.12
29.7,2.21,5.12
30.8,2.23,5.12
31.9,2.21,5.12
33.1,2.23,5.12
34.2,2.27,6.44
35.4,2.36,6.44
36.5,2.35,6.45
37.6,2.35,6.45
38.8,2.33,6.45
39.9,2.33,6.45
41.0,2.33,6.45
42.2,2.34,8.1
43.3,2.34,8.1
44.4,2.34,8.1
45.6,2.34,8.1
46.7,2.34,8.1
47.9,2.34,8.1
49.0,2.34,8.1
50.1,2.34,8.1
51.3,2.35,8.1
52.4,2.35,8.1
53.6,2.38,8.1
54.7,2.36,8.1
55.8,2.36,8.1
57.0,2.37,8.1
58.1,2.36,8.1
59.2,2.36,8.1
60.4,2.39,8.1
61.5,2.39,8.1
62.7,2.42,8.1
63.8,2.4,8.1
64.9,2.4,8.1
66.1,2.4,8.11
67.2,2.4,8.11
68.4,2.4,8.11
69.5,2.4,8.11
70.6,2.4,8.11
71.8,2.41,8.11
72.9,2.41,8.11
74.1,2.41,8.11
75.2,2.41,8.11
76.3,2.41,8.11
77.5,2.41,8.11
78.6,2.41,8.11
79.7,2.44,8.11
80.9,3.0,1.4
82.0,3.49,2.3
83.2,4.44,1.43
84.3,5.59,1.43
85.4,6.49,1.43
86.6,6.77,1.43
87.8,4.45,2.42
88.9,4.42,2.42
90.1,4.42,2.67
91.2,4.42,2.67
92.3,4.42,2.67
93.5,4.42,2.67
94.6,4.42,2.67
95.7,4.42,2.67
96.9,4.46,2.75
98.0,4.46,2.75
99.2,4.46,2.75
100.3,4.46,2.75
101.4,4.5,2.72
102.6,4.51,2.72
103.7,4.57,2.93
104.8,4.57,2.93
106.0,4.57,2.93
107.1,4.57,3.1
108.3,4.57,3.1
109.4,4.94,4.07
110.5,4.94,4.07
111.7,5.18,4.07
112.8,5.94,3.51
114.0,6.42,1.41
115.1,8.06,3.27
116.3,6.52,4.75
117.4,6.52,4.75
118.5,6.56,4.75
119.7,6.56,4.75
120.8,6.56,4.75
122.0,6.56,4.75
123.1,6.56,4.75
124.2,6.56,4.75
125.4,6.56,4.75
126.5,6.56,4.75
127.7,6.56,4.75
128.8,6.56,4.75
129.9,6.56,4.75
131.1,6.56,4.75
132.2,6.56,4.75
133.4,6.56,4.75
134.5,7.01,4.75
135.6,8.43,2.29
136.8,8.23,3.21
137.9,8.71,3.16
139.1,8.75,3.23
140.3,9.0,2.62
141.4,8.94,1.76
142.6,9.34,1.76
143.7,9.38,1.76
144.9,9.42,1.76
146.0,9.45,1.76
147.1,9.97,2.01
148.3,10.22,2.01
149.4,11.02,2.01
150.6,11.56,2.01
151.7,11.28,2.01
152.8,11.95,2.01
154.0,11.78,2.01
155.1,11.69,2.01
156.3,10.91,1.92
157.4,10.91,1.92
158.5,10.91,1.92
159.7,10.91,1.92
160.8,10.91,2.43
