# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,3.25,
1.0,3.25,
2.0,3.24,
3.1,3.24,
4.1,3.24,
5.1,3.24,
6.1,3.24,
7.1,3.26,
8.1,3.39,
9.1,3.42,
10.1,3.44,
11.2,3.47,
12.2,3.48,
13.2,3.48,
14.2,3.49,
15.2,3.5,
16.2,3.5,
17.3,3.52,
18.3,3.53,
19.3,3.56,
20.3,3.66,
21.3,3.71,
22.3,3.76,
23.4,3.6,
24.4,3.81,
25.4,4.04,
26.4,4.54,
27.4,5.1,
28.4,2.97,
29.5,3.22,
30.5,3.25,
31.5,3.29,
32.5,3.43,
33.5,3.47,
34.5,3.49,
35.6,3.51,
36.6,3.52,
37.6,4.03,
38.6,5.71,
39.6,3.79,
40.6,4.19,
41.6,5.25,
42.7,5.44,
43.7,6.46,
44.7,7.34,
45.7,5.32,
46.7,5.35,
47.7,5.35,
48.8,5.35,
49.8,5.35,
50.8,5.35,
51.8,6.27,
52.8,7.97,
53.8,8.82,
54.9,10.18,
55.9,8.09,
56.9,8.2,
57.9,8.2,
58.9,8.2,
60.0,8.2,
61.0,8.2,
62.0,8.2,
63.0,8.2,
64.0,10.62,
65.0,11.71,
66.1,12.26,
67.1,12.75,
68.1,11.78,
69.1,10.65,
70.1,10.66,
71.2,10.66,
72.2,10.66,
73.2,10.67,
74.2,10.7,
75.2,10.71,
76.2,10.74,
77.3,10.71,
78.3,10.71,
79.3,10.74,
80.3,10.71,
81.3,10.73,
82.4,10.72,
83.4,10.72,
84.4,10.75,
85.4,10.73,
86.4,10.73,
87.5,10.73,
88.5,10.73,
89.5,10.73,
90.5,10.73,
91.5,10.73,
92.5,10.73,
93.6,10.73,
94.6,10.73,
95.6,10.78,
96.6,10.78,
97.6,10.79,
98.6,10.8,
99.7,10.8,
100.7,10.8,
101.7,10.8,
102.7,10.8,
103.7,10.8,
104.7,10.8,
105.8,10.84,
106.8,10.81,
107.8,10.81,
108.8,10.81,
109.8,10.81,
110.8,10.81,
111.9,10.81,
112.9,10.82,
113.9,10.85,
114.9,10.82,
115.9,10.82,
116.9,10.82,
118.0,10.83,
119.0,10.83,
120.0,10.83,
121.0,10.84,
122.0,10.84,
123.0,10.84,
124.1,10.84,
125.1,10.84,
126.1,10.84,
127.1,10.84,
128.1,10.84,
129.1,10.84,
130.2,10.85,
131.2,10.85,
132.2,10.85,
133.2,10.85,
134.2,10.86,
135.3,10.86,
136.3,10.86,
137.3,10.86,
138.3,10.88,
139.3,10.86,
140.4,10.86,
141.4,10.87,
142.4,10.87,
143.4,10.87,
144.4,10.87,
145.4,10.87,
146.5,10.88,
147.5,10.88,
148.5,10.88,
149.5,10.88,
150.5,10.91,
151.5,11.82,
152.6,11.99,
153.6,12.0,
154.6,11.97,
155.6,12.04,
156.6,12.11,
157.6,12.13,
158.6,12.15,
159.7,12.17,
160.7,12.21,
161.7,12.22,
162.7,12.22,
163.7,12.22,
164.7,12.22,
165.7,12.16,
166.8,12.16,
167.8,12.16,
168.8,12.16,
169.8,12.16,
170.8,12.16,
171.9,12.16,
172.9,12.16,
173.9,12.16,
174.9,12.16,
175.9,12.16,
176.9,12.16,
178.0,12.16,
179.0,12.16,
180.0,12.17,
181.0,12.17,
182.0,12.16,
183.0,12.17,
184.1,12.17,
185.1,12.17,
186.1,12.15,
187.1,12.16,
188.1,12.01,
189.1,10.04,
190.2,10.14,
191.2,10.16,
192.2,10.36,
193.2,10.48,
194.2,10.56,
195.2,10.64,
196.3,10.67,
197.3,10.67,
198.3,10.6,
199.3,10.6,
200.3,10.6,
