# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,11.8,1.4
1.1,11.8,1.29
2.3,11.81,1.33
3.4,11.81,1.36
4.5,11.81,1.39
5.7,11.81,1.39
6.8,11.81,1.4
7.9,11.96,1.4
9.1,12.03,1.41
10.2,12.03,1.41
11.4,12.03,1.41
12.5,12.03,1.41
13.6,12.03,1.41
14.8,12.03,1.41
15.9,12.03,1.41
17.0,12.04,1.41
18.1,12.04,1.41
19.3,12.04,1.41
20.4,12.04,1.41
21.5,12.04,1.41
22.7,12.04,1.41
23.8,12.04,1.41
24.9,12.04,1.41
26.1,12.04,1.41
27.2,12.04,1.41
28.4,12.04,1.41
29.5,12.04,1.41
30.6,12.04,1.41
31.8,12.04,1.41
32.9,12.04,1.41
34.1,12.04,1.41
35.2,12.04,1.41
36.3,12.04,1.41
37.4,12.04,1.41
38.6,12.04,1.41
39.7,12.04,1.41
40.8,12.04,1.41
41.9,12.04,1.41
43.1,12.04,1.41
44.2,12.04,1.41
45.3,12.04,1.41
46.5,12.04,1.41
47.6,12.04,1.41
48.7,12.04,1.41
49.9,12.04,1.41
51.0,12.04,1.41
52.1,12.04,1.41
53.2,12.04,1.41
54.4,12.04,1.41
55.5,12.04,1.41
56.6,12.04,1.41
57.7,12.04,1.41
58.9,12.04,1.41
60.0,12.04,1.41
61.1,12.04,1.41
62.3,12.04,1.41
63.4,12.04,1.41
64.5,12.04,1.41
65.7,12.04,1.41
66.8,12.04,1.41
67.9,12.04,1.41
69.0,12.04,1.41
70.2,12.04,1.41
71.3,12.04,1.41
72.4,12.04,1.41
73.5,12.04,1.41
74.7,12.04,1.41
75.8,12.04,1.41
76.9,12.04,1.41
78.1,12.04,1.41
79.2,12.04,1.41
80.3,12.04,1.41
81.5,12.04,1.41
82.6,12.04,1.41
83.7,12.04,1.41
84.8,12.04,1.41
86.0,12.04,1.41
87.1,12.04,1.41
88.2,12.04,1.41
89.4,12.04,1.41
90.5,12.04,1.41
91.6,12.04,1.41
92.8,12.04,1.41
93.9,12.04,1.41
95.1,12.04,1.41
96.2,12.04,1.41
97.3,12.04,1.41
98.5,12.04,1.41
99.6,12.04,1.41
100.7,12.04,1.41
101.9,12.04,1.41
103.0,12.04,1.41
104.2,12.04,1.41
105.3,12.04,1.41
106.4,12.04,1.41
107.6,12.04,1.41
108.7,12.04,1.41
109.8,12.04,1.41
111.0,12.04,1.41
112.1,12.04,1.41
113.2,12.04,1.41
114.4,12.04,1.41
115.5,12.04,1.41
116.6,12.04,1.41
117.8,12.04,1.41
118.9,12.04,1.41
120.0,12.15,1.41
121.2,12.15,1.41
122.3,11.93,1.01
123.4,1.98,1.02
124.6,2.08,1.02
125.7,2.12,1.02
126.8,2.17,1.02
128.0,2.3,1.27
129.1,2.37,1.27
130.2,2.55,1.27
131.4,2.63,1.27
132.5,2.66,1.27
133.6,3.27,1.28
134.8,3.67,1.28
136.0,4.27,1.28
137.1,2.65,3.3
138.2,2.66,3.55
139.4,2.76,4.11
140.5,2.76,4.11
141.7,2.78,4.67
142.8,2.78,4.67
144.0,2.78,4.67
145.1,2.81,4.67
146.2,2.81,4.67
147.4,2.81,4.67
148.5,2.81,4.67
149.6,2.81,4.67
150.7,2.81,4.67
151.9,2.81,4.67
153.0,2.81,4.67
154.1,2.81,4.67
155.3,2.81,4.67
156.4,2.82,4.67
157.6,2.86,4.67
158.7,2.85,4.67
159.8,2.85,4.67
160.9,2.88,4.67
162.1,2.86,4.67
163.2,2.86,4.67
164.3,2.86,4.67
165.5,2.86,4.67
166.6,2.91,4.67
167.7,2.87,4.67
168.9,2.87,4.67
170.0,2.87,4.67
171.1,2.87,4.67
172.3,2.87,4.67
173.4,2.87,4.67
174.5,2.9,4.67
175.7,4.44,1.34
176.8,3.69,2.52
178.0,5.33,2.03
179.1,7.17,3.84
180.3,4.99,4.1
181.4,4.99,4.1
182.5,5.06,4.1
183.7,5.06,4.1
184.8,5.06,4.1
185.9,5.06,4.1
187.0,8.84,1.37
188.2,8.81,1.37
189.4,9.41,1.37
190.5,9.86,1.37
191.7,7.48,2.61
192.8,7.48,2.6
194.0,7.5,2.6
195.1,7.5,2.81
196.2,7.53,2.76
197.4,7.53,2.76
198.5,8.02,2.76
199.7,8.91,1.63
200.8,10.12,1.63
202.0,10.71,1.63
203.2,11.3,1.63
204.4,8.91,2.42
205.5,8.91,2.58
206.7,10.01,1.52
207.8,10.07,1.81
208.9,10.07,1.81
210.1,10.08,1.51
211.2,10.09,1.51
212.3,9.32,1.23
213.5,9.61,1.23
214.6,9.64,1.23
215.7,9.7,1.23
216.9,9.89,1.48
218.0,9.97,1.48
219.1,10.09,1.48
220.3,10.22,1.5
221.4,10.16,1.55
222.6,10.16,1.38
223.7,10.16,1.38
224.8,10.16,1.38
226.0,10.16,1.4
227.1,10.16,1.4
228.2,10.16,1.4
229.3,10.16,1.4
230.4,10.16,1.4
231.6,10.16,1.4
232.7,10.1,1.4
233.8,10.1,1.4
235.0,10.1,1.4
236.1,10.1,1.4
237.2,10.1,1.4
238.4,10.1,1.4
239.5,10.1,1.4
240.6,10.1,1.4
241.7,10.1,1.4
242.8,10.1,1.4
244.0,10.1,1.4
245.1,10.1,1.4
246.2,10.1,1.4
247.4,10.1,1.4
248.5,10.1,1.4
249.6,10.1,1.4
250.8,10.1,1.4
251.9,10.1,1.4
253.0,10.1,1.4
254.2,10.1,1.4
255.3,10.1,1.4
256.4,10.1,1.4
257.5,10.1,1.4
258.7,10.1,1.4
259.8,10.1,1.4
260.9,10.1,1.4
262.0,10.1,1.4
263.1,10.1,1.4
264.3,10.1,1.4
265.4,10.1,1.4
266.6,10.1,1.4
267.7,10.1,1.4
268.8,10.1,1.4
269.9,10.1,1.4
271.1,10.1,1.4
272.2,10.1,1.4
273.3,10.1,1.4
274.4,10.1,1.4
275.6,10.1,1.4
276.7,10.1,1.4
277.8,10.1,1.4
278.9,10.1,1.4
280.1,10.1,1.4
281.2,10.1,1.4
282.3,10.1,1.4
283.4,10.1,1.4
284.6,10.1,1.4
285.7,10.1,1.4
286.8,10.1,1.4
