# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,16.15,1.22
1.1,15.33,1.23
2.3,15.33,1.23
3.4,15.33,1.23
4.5,15.33,1.23
5.6,15.33,1.23
6.8,15.43,1.34
7.9,14.45,2.56
9.1,13.53,3.33
10.2,12.87,4.06
11.3,12.87,4.06
12.5,12.87,4.06
13.6,12.87,4.06
14.8,12.87,4.06
15.9,13.23,4.06
17.0,15.28,1.27
18.2,14.31,1.9
19.3,15.21,2.81
20.5,15.99,3.62
21.6,13.78,4.12
22.8,13.78,4.12
23.9,13.78,4.12
25.0,13.78,4.12
26.2,13.78,4.12
27.3,13.78,4.12
28.4,13.78,4.13
29.6,13.78,4.13
30.7,16.19,1.66
31.9,15.33,2.43
33.0,15.33,2.68
34.2,15.34,2.68
35.3,15.34,2.68
36.4,15.35,2.68
37.6,15.35,2.68
38.7,15.35,2.68
39.8,15.35,2.68
41.0,15.36,2.68
42.1,15.36,2.68
43.2,15.39,2.68
44.4,15.36,2.68
45.5,15.36,2.68
46.7,15.36,2.68
47.8,15.37,2.68
48.9,15.36,2.68
50.0,15.37,2.68
51.2,15.37,2.46
52.3,15.37,2.46
53.4,15.37,2.71
54.6,15.37,2.71
55.7,15.37,2.68
56.8,15.37,2.68
58.0,15.37,2.68
59.1,15.37,2.68
60.2,15.37,2.66
61.4,15.37,2.66
62.5,15.37,2.66
63.6,15.39,2.67
64.8,15.39,2.85
65.9,15.39,2.85
67.0,15.39,3.22
68.2,15.91,3.04
69.3,15.36,2.54
70.4,13.86,5.4
71.6,13.86,5.4
72.7,13.86,5.4
73.8,13.86,5.4
75.0,13.86,5.4
76.1,13.86,5.4
77.2,13.86,5.4
78.4,13.86,5.4
79.5,13.86,5.4
80.6,13.86,5.4
81.8,13.86,5.4
82.9,13.86,5.4
84.0,13.86,5.4
85.2,13.86,5.4
86.3,13.86,5.4
87.4,13.86,5.4
88.6,13.86,5.4
89.7,13.86,5.4
90.8,13.86,5.4
92.0,13.86,5.4
93.1,13.86,5.4
94.2,13.86,5.4
95.4,13.86,5.4
96.5,13.86,5.4
97.6,13.86,5.4
98.8,13.86,5.4
99.9,13.86,5.4
101.0,13.86,5.4
102.1,13.86,5.4
103.3,13.86,5.4
104.4,13.86,5.4
105.5,13.86,5.4
106.7,13.86,5.4
107.8,13.86,5.4
108.9,13.86,5.4
110.1,13.86,5.4
111.2,13.86,5.4
112.3,13.86,5.4
113.4,13.86,5.4
114.6,15.86,2.02
115.7,15.39,2.81
116.8,16.05,2.88
118.1,15.39,3.09
119.2,15.63,3.33
120.4,16.35,2.87
121.5,15.88,2.55
122.7,16.77,4.78
123.9,16.35,2.87
125.0,15.93,3.19
126.2,16.84,4.78
127.4,16.84,2.95
128.5,17.88,3.93
129.8,16.51,2.99
131.0,16.83,2.66
132.2,17.42,3.09
133.4,15.88,3.84
134.5,16.73,3.96
135.7,16.31,2.59
136.9,16.89,1.3
138.0,17.93,1.3
139.2,19.08,1.3
140.3,19.13,1.3
141.4,20.42,1.3
142.6,21.07,1.3
143.7,21.13,2.32
144.9,22.09,2.32
146.0,22.09,2.32
147.2,22.09,2.32
148.3,22.09,2.32
149.4,22.09,2.32
150.6,22.1,2.32
151.7,22.1,2.32
152.9,22.11,2.32
154.0,22.12,2.32
155.2,22.12,2.32
156.3,22.13,2.32
157.4,22.14,2.32
158.6,22.14,2.32
159.7,22.15,2.32
160.9,22.15,2.32
162.0,22.16,2.32
163.1,22.17,2.32
164.3,22.17,2.32
165.4,22.18,2.32
166.6,22.18,2.32
167.7,22.19,2.32
168.8,22.2,2.32
170.0,22.21,2.32
171.1,22.21,2.32
172.2,22.22,2.32
173.4,22.22,2.32
174.5,22.23,2.32
175.6,22.23,2.32
176.8,22.24,2.32
177.9,22.25,2.32
179.1,22.25,2.32
180.2,22.26,2.32
181.3,22.32,2.32
182.5,22.27,2.32
183.6,21.71,3.99
184.7,21.71,4.19
185.9,21.71,4.19
187.0,21.71,4.19
188.2,21.71,4.19
189.3,21.71,4.19
190.4,21.71,4.19
191.6,21.71,4.19
192.7,20.61,2.75
193.8,20.61,2.88
195.0,20.68,2.88
196.1,20.72,2.88
197.3,20.76,2.88
198.5,20.76,2.88
199.6,19.33,1.04
200.7,18.14,1.04
201.9,18.22,1.04
203.0,18.26,1.04
204.1,18.31,1.04
205.3,18.51,1.29
206.4,18.58,1.29
207.5,18.67,1.29
208.7,18.7,1.29
209.8,17.81,1.29
210.9,17.81,1.29
212.0,17.81,1.29
