# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,1.65,1.02
1.1,1.64,0.85
2.3,1.64,0.88
3.4,1.64,0.91
4.5,1.64,0.91
5.7,1.64,0.91
6.8,1.64,0.91
7.9,1.32,0.55
9.1,1.73,0.55
10.3,1.78,0.55
11.4,1.81,0.55
12.5,1.84,0.55
13.7,1.88,0.55
14.8,2.01,0.65
16.0,2.03,0.65
17.1,3.1,1.07
18.2,2.46,1.88
19.4,3.61,0.71
20.5,3.74,0.93
21.7,4.71,1.89
22.8,5.59,2.77
24.0,3.96,3.21
25.1,3.73,3.46
26.2,3.73,3.46
27.4,3.73,3.46
28.5,3.73,3.46
29.6,3.73,3.46
30.8,3.73,3.46
31.9,3.73,3.46
33.0,3.73,3.46
34.2,3.73,3.46
35.3,3.73,3.46
36.5,3.73,3.46
37.6,3.73,3.46
38.7,5.2,3.47
39.9,6.41,0.75
41.0,7.25,1.68
42.2,8.17,2.58
43.3,8.1,3.21
44.4,6.48,3.54
45.6,6.48,3.55
46.7,6.57,3.55
47.9,6.57,3.55
49.0,6.57,3.55
50.2,6.57,3.55
51.3,6.57,3.55
52.5,6.57,3.56
53.6,6.57,3.56
54.7,6.57,3.56
55.9,6.57,3.56
57.0,6.57,3.56
58.2,6.57,3.56
59.3,6.57,3.56
60.4,6.57,3.56
61.6,8.77,0.74
62.8,9.93,0.74
63.9,10.47,0.74
65.0,10.95,0.74
66.2,11.45,0.74
67.4,9.0,1.72
68.5,9.08,1.99
69.7,9.41,2.03
70.8,10.04,2.36
72.0,10.74,0.94
73.2,11.41,0.73
74.3,12.21,1.0
75.5,12.21,1.0
76.6,12.22,1.0
77.7,12.23,1.0
78.9,12.24,1.0
80.0,12.24,1.0
81.1,12.25,1.0
82.3,12.26,1.0
83.4,12.12,2.17
84.6,12.12,2.29
85.7,12.12,2.29
86.8,12.12,2.29
87.9,12.12,2.29
89.0,12.12,2.29
90.2,12.12,2.29
91.3,12.12,2.29
92.4,12.12,2.29
93.6,12.12,2.29
94.7,12.12,2.29
95.8,12.12,2.29
96.9,12.12,2.29
98.1,12.12,2.29
99.2,12.12,2.29
100.4,12.12,2.29
101.5,11.83,1.95
102.7,11.89,2.06
103.8,11.92,2.08
105.0,11.97,2.08
106.2,12.03,2.08
107.3,12.03,2.08
108.5,12.03,2.08
109.6,11.72,0.65
110.8,10.57,0.65
111.9,10.99,0.65
113.0,11.03,0.65
114.2,11.09,0.65
115.3,11.28,0.75
116.4,11.34,0.75
117.6,11.41,0.75
118.7,11.52,0.75
119.9,11.49,0.75
121.0,11.43,0.75
122.1,11.43,0.75
