# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,11.15,0.43
1.3,11.16,0.44
2.6,11.2,0.44
3.8,11.23,0.44
5.1,11.26,0.44
6.3,11.29,0.45
7.5,11.32,0.45
8.7,11.44,0.55
9.9,11.52,0.61
11.1,11.55,0.61
12.3,11.57,0.65
13.6,11.59,0.68
14.8,11.61,0.68
16.0,11.63,0.71
17.2,11.63,0.79
18.4,11.73,0.79
19.6,11.87,0.74
20.8,12.01,0.65
22.1,12.09,0.65
23.3,12.11,0.65
24.5,12.12,0.65
25.7,12.12,0.65
26.9,11.99,0.65
28.1,12.0,0.65
29.3,11.58,0.72
30.5,11.83,0.72
31.7,11.94,0.72
32.9,11.97,0.72
34.1,11.98,0.72
35.3,11.98,0.72
36.5,11.99,0.72
37.7,12.04,0.72
38.9,12.05,0.72
40.2,12.07,0.72
41.4,12.09,0.72
42.6,12.1,0.72
43.9,12.12,0.72
45.1,12.13,0.72
46.3,12.14,0.72
47.5,12.14,0.72
48.7,12.14,0.72
49.8,12.15,0.72
51.1,12.16,0.72
52.3,12.17,0.72
53.5,12.21,0.72
54.7,12.39,0.72
55.9,12.56,0.72
57.2,12.61,0.72
58.5,12.66,0.72
59.8,12.75,0.72
61.3,12.87,0.72
62.5,12.96,0.72
63.9,12.97,0.72
65.2,13.06,0.72
66.4,12.88,0.72
67.6,12.61,0.72
68.8,12.47,0.72
70.0,12.48,0.72
71.2,12.87,0.72
72.4,13.25,0.72
73.6,13.46,0.72
74.8,13.46,0.72
75.9,13.46,0.72
77.2,13.45,0.72
78.4,13.43,0.72
79.6,13.42,0.72
80.7,13.8,0.72
81.9,13.41,0.73
83.1,13.2,1.32
84.3,12.38,2.04
85.5,12.6,2.14
86.7,12.78,2.36
87.9,13.68,2.36
89.1,12.64,1.01
90.3,12.63,1.01
91.4,12.5,0.72
92.7,11.61,0.72
93.9,11.84,0.72
95.1,11.94,0.72
96.3,11.96,0.72
97.5,11.97,0.72
98.7,11.98,0.72
99.9,11.98,0.72
101.1,12.0,0.72
102.2,12.02,0.72
103.5,12.03,0.72
104.7,12.13,0.88
105.9,12.17,0.92
107.0,12.19,0.92
108.2,12.19,0.92
109.4,12.21,0.92
110.7,12.21,0.92
111.9,12.2,0.92
113.1,12.2,0.92
114.3,12.22,0.92
115.5,12.22,0.92
116.7,12.23,0.92
117.8,12.24,0.92
119.0,12.27,0.92
120.2,12.39,0.92
121.4,12.4,1.2
122.6,12.52,1.2
123.9,12.64,1.2
125.1,12.77,1.2
126.4,12.9,1.2
127.6,12.81,1.2
128.8,12.7,1.2
130.1,12.82,1.2
131.4,12.91,1.2
132.6,13.03,1.2
133.9,13.14,1.2
135.2,13.21,1.2
136.5,13.31,1.2
137.8,13.24,1.2
139.1,13.3,1.2
140.4,13.38,1.2
141.7,13.49,1.2
143.0,13.41,1.2
144.2,13.3,1.2
145.5,13.26,1.2
146.7,13.21,1.2
148.0,13.11,1.2
149.2,13.06,1.2
150.4,12.99,1.2
151.6,13.03,1.2
152.8,13.09,1.2
154.1,13.18,1.2
155.3,13.27,1.2
156.6,13.35,1.2
157.8,13.43,1.2
158.9,13.49,1.2
160.2,13.56,1.2
161.4,13.63,1.2
162.6,13.71,1.2
