# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,9.77,1.43
1.1,9.58,1.43
2.3,9.58,1.43
3.4,9.58,1.43
4.5,9.58,1.46
5.7,9.58,1.46
6.8,9.58,1.46
7.9,1.34,0.87
9.1,1.75,0.87
10.2,1.8,0.87
11.3,1.83,0.87
12.5,1.86,0.87
13.6,1.9,0.87
14.8,2.03,1.12
15.9,2.08,1.12
17.0,2.56,2.14
18.2,2.48,2.37
19.3,3.64,1.21
20.5,3.78,1.42
21.6,4.75,2.41
22.8,5.65,3.3
23.9,3.7,3.88
25.0,3.78,4.0
26.2,3.78,4.0
27.3,3.78,4.0
28.4,3.78,4.0
29.6,3.78,4.0
30.7,4.05,4.0
31.8,6.44,1.21
33.0,7.06,1.94
34.1,8.01,2.88
35.3,8.81,3.7
36.4,6.52,4.09
37.5,6.62,4.09
38.7,6.62,4.1
39.8,6.62,4.1
40.9,6.62,4.1
42.1,6.62,4.1
43.3,6.62,4.1
44.4,6.62,4.1
45.5,8.33,4.11
46.7,10.0,1.23
47.8,10.61,1.23
49.0,11.17,1.23
50.1,9.91,1.55
51.3,9.07,2.16
52.5,9.1,2.18
53.6,9.13,2.28
54.7,9.86,2.8
55.9,9.91,2.57
57.0,10.91,1.32
58.2,11.4,1.24
59.3,12.2,2.16
60.4,13.12,3.07
61.6,13.79,3.71
62.7,11.4,4.12
63.9,11.4,4.12
65.0,11.4,4.13
66.1,11.4,4.13
67.3,11.4,4.13
68.4,11.4,4.13
69.5,11.4,4.13
70.7,13.81,1.26
71.8,14.96,1.26
73.0,15.59,1.26
74.2,16.13,1.26
75.3,13.91,2.12
76.4,13.82,3.06
77.6,14.37,2.7
78.7,15.07,1.5
79.9,15.88,1.67
81.0,15.88,1.67
82.1,15.89,1.67
83.3,15.89,1.67
84.5,15.9,1.67
85.6,15.9,1.67
86.7,15.91,1.67
87.9,15.91,1.67
89.0,15.92,1.67
90.1,15.77,2.75
91.3,15.77,2.75
92.4,15.77,2.75
93.5,15.77,2.75
94.7,15.77,2.58
95.8,15.52,2.49
96.9,15.55,2.5
98.1,15.6,2.5
99.3,15.63,2.5
100.5,15.69,2.5
101.6,15.69,2.5
102.7,15.69,2.5
103.9,15.69,2.5
105.0,15.7,2.5
106.1,15.7,2.5
107.3,15.7,2.5
108.4,15.7,2.5
109.5,15.7,2.5
110.6,15.7,2.5
111.8,15.7,2.5
112.9,15.7,2.5
114.1,15.7,2.5
115.2,15.7,2.5
116.4,15.7,2.5
117.5,15.7,2.5
118.7,15.7,2.5
119.8,15.7,2.5
120.9,15.7,2.5
122.1,15.64,2.5
123.2,14.96,1.24
124.4,15.8,1.34
125.5,15.94,1.5
126.7,16.23,1.5
127.8,16.23,1.5
128.9,16.24,1.5
130.1,16.25,1.5
131.2,16.25,1.5
132.3,16.26,1.5
133.5,16.26,1.5
134.6,16.27,1.5
135.8,16.28,2.12
136.9,15.8,2.09
138.0,15.8,2.09
139.1,15.81,2.09
140.3,15.81,2.09
141.4,15.81,2.09
142.5,15.7,1.3
143.7,15.7,1.3
144.8,15.7,1.3
146.0,15.7,1.3
147.1,15.77,1.3
148.3,16.02,1.25
149.4,15.97,1.25
150.5,14.58,1.0
151.7,14.99,1.0
152.8,15.03,1.0
154.0,15.09,1.0
155.1,15.36,1.25
156.2,15.45,1.25
157.4,15.48,1.25
158.5,15.55,1.25
159.6,15.48,1.26
160.8,15.48,1.21
161.9,15.48,1.34
163.0,15.48,1.34
164.2,15.48,1.35
165.3,15.48,1.35
166.4,15.48,1.35
167.6,15.48,1.35
168.7,15.48,1.35
169.8,15.48,1.35
171.0,15.48,1.35
172.1,15.48,1.35
173.3,15.48,1.35
174.4,15.48,1.35
175.5,15.48,1.35
176.6,15.48,1.35
177.8,15.48,1.35
178.9,15.48,1.35
180.0,15.48,1.35
181.2,15.48,1.35
182.3,15.48,1.35
183.4,15.34,1.35
184.6,15.34,1.35
185.7,15.34,1.35
186.8,15.34,1.35
187.9,15.34,1.35
189.0,15.34,1.35
190.2,15.34,1.35
191.3,15.34,1.35
192.4,15.34,1.35
193.6,15.34,1.35
194.7,15.34,1.35
195.8,15.34,1.35
197.0,15.34,1.35
198.1,15.34,1.35
199.2,15.34,1.35
200.4,15.34,1.35
201.5,15.34,1.35
202.6,15.34,1.35
203.8,15.34,1.35
204.9,15.34,1.35
206.0,15.34,1.35
207.2,15.34,1.35
208.3,15.34,1.35
209.4,15.34,1.35
210.6,15.34,1.35
211.7,15.34,1.35
212.8,15.34,1.35
214.0,15.34,1.35
215.1,15.34,1.35
216.2,15.34,1.35
217.3,15.34,1.35
218.4,15.34,1.35
219.6,15.34,1.35
220.7,15.34,1.35
221.8,15.34,1.35
223.0,15.34,1.35
224.1,15.34,1.35
225.2,15.34,1.35
226.3,15.34,1.35
227.5,15.34,1.35
