# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,15.33,0.82
1.1,2.24,0.83
2.3,2.31,0.86
3.4,2.35,0.89
4.5,2.4,0.89
5.7,2.1,1.14
6.8,1.19,0.9
7.9,1.62,0.9
9.1,1.66,0.91
10.2,1.72,0.91
11.3,1.84,1.16
12.5,1.89,1.16
13.6,1.95,1.16
14.7,2.04,1.16
15.9,2.33,1.16
17.0,2.45,1.16
18.2,2.48,1.16
19.3,2.48,1.16
20.4,2.1,1.21
21.6,3.07,1.21
22.7,3.66,1.21
23.9,2.15,1.98
25.1,2.3,4.96
26.2,2.32,4.96
27.3,2.36,4.96
28.5,2.35,4.96
29.6,2.33,4.96
30.7,2.33,4.96
31.9,2.33,4.96
33.0,2.43,6.28
34.1,2.44,6.28
35.2,2.44,6.29
36.4,2.44,6.29
37.5,2.45,6.29
38.6,2.47,6.29
39.8,2.45,6.29
40.9,2.46,7.94
42.0,2.46,7.94
43.1,2.46,7.94
44.3,2.46,7.94
45.4,2.46,7.94
46.6,2.46,7.94
47.7,2.46,7.94
48.8,2.46,7.94
49.9,2.46,7.94
51.1,2.47,7.94
52.2,2.47,7.94
53.4,2.47,7.94
54.5,2.47,7.94
55.6,2.47,7.94
56.8,2.47,7.94
57.9,2.47,7.94
59.0,2.48,7.94
60.2,2.5,7.94
61.3,2.51,7.94
62.4,2.51,7.94
63.5,2.51,7.94
64.7,2.51,7.94
65.8,2.51,7.94
66.9,2.51,7.94
68.1,2.52,7.94
69.2,2.52,7.94
70.4,2.52,7.94
71.5,2.52,7.94
72.6,2.56,7.94
73.8,2.52,7.94
74.9,2.52,7.94
76.0,2.52,7.94
77.2,2.52,7.94
78.3,2.52,7.94
79.4,2.54,7.94
80.6,2.52,7.94
81.7,3.05,1.24
82.9,3.08,2.38
84.0,6.11,1.26
85.2,5.88,1.26
86.4,6.48,1.26
87.5,6.86,1.26
88.7,4.5,2.45
89.8,4.51,2.45
91.0,4.51,2.45
92.1,4.51,2.45
93.2,4.55,2.68
94.3,4.55,2.68
95.5,4.55,2.68
96.6,4.55,2.68
97.7,4.59,2.68
98.9,4.59,2.68
100.0,4.66,2.85
101.1,4.66,2.85
102.3,4.66,2.85
103.4,4.66,2.77
104.5,4.66,2.77
105.7,4.78,3.08
106.8,5.03,3.89
107.9,5.03,3.89
109.1,5.03,3.08
110.2,6.23,3.14
111.4,6.84,1.79
112.5,8.71,3.7
113.7,6.6,4.58
114.8,6.6,4.58
115.9,6.65,4.58
117.0,6.65,4.58
118.2,6.65,4.58
119.3,6.65,4.58
120.4,6.65,4.58
121.5,6.65,4.58
122.7,6.65,4.58
123.8,6.65,4.58
124.9,6.65,4.58
126.1,6.65,4.58
127.2,6.65,4.58
128.3,6.65,4.58
129.5,6.65,4.58
130.6,6.65,4.58
131.7,6.65,4.58
132.8,6.65,4.58
134.0,9.06,1.64
135.1,8.17,2.77
136.3,8.22,3.13
137.4,8.21,2.89
138.6,9.08,1.87
139.7,9.89,1.69
140.8,9.39,1.69
142.0,9.45,1.69
143.1,9.5,1.69
144.2,9.55,1.75
145.4,10.08,1.94
146.5,10.34,1.94
147.7,11.12,1.94
148.8,11.69,1.94
150.0,11.34,1.94
151.1,11.92,1.94
152.2,11.9,1.94
153.4,11.79,1.94
154.5,11.02,1.94
155.7,11.02,1.96
156.8,11.02,1.77
157.9,11.02,1.77
159.1,11.02,2.18
