# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,3.35,1.42
1.1,3.35,0.97
2.3,3.35,0.99
3.4,3.35,1.01
4.6,3.35,1.02
5.7,3.35,1.02
6.8,3.39,1.03
7.9,3.47,1.03
9.1,3.51,1.05
10.2,3.51,1.05
11.4,3.51,1.05
12.5,3.52,1.05
13.6,3.53,1.05
14.7,3.53,1.05
15.9,3.55,1.05
17.0,3.58,1.05
18.1,3.6,1.05
19.3,3.73,1.05
20.4,3.79,1.05
21.5,3.73,1.05
22.7,4.85,1.05
23.8,3.92,2.42
25.0,4.35,5.63
26.1,5.25,1.15
27.2,5.31,1.15
28.4,5.32,2.27
29.5,6.67,1.18
30.7,7.14,1.79
31.8,8.84,3.5
33.0,6.77,3.94
34.1,6.77,3.94
35.2,6.77,3.94
36.3,6.77,3.94
37.5,6.77,3.94
38.6,6.77,3.94
39.7,8.76,3.94
40.9,9.77,1.77
42.0,11.66,3.63
43.1,9.44,3.7
44.3,9.53,3.7
45.4,9.53,3.7
46.5,9.53,3.7
47.7,9.53,3.7
48.8,9.53,3.7
49.9,11.92,1.19
51.1,13.07,1.19
52.2,13.69,1.19
53.4,14.23,1.19
54.5,12.46,1.73
55.7,11.97,2.3
56.8,11.98,2.3
57.9,11.98,2.55
59.1,11.99,2.55
60.2,12.02,2.55
61.3,12.03,2.55
62.5,12.04,2.55
63.6,12.03,2.55
64.7,12.03,2.55
65.8,12.03,2.55
67.0,12.03,2.55
68.1,12.04,2.55
69.2,12.07,2.55
70.3,12.04,2.55
71.5,12.04,2.55
72.6,12.05,2.55
73.7,12.05,2.55
74.9,12.07,2.55
76.0,12.06,2.3
77.1,12.06,2.55
78.2,12.06,2.55
79.4,12.06,2.55
80.5,12.06,2.55
81.6,12.09,2.3
82.8,12.09,2.55
83.9,12.09,2.55
85.0,12.1,2.55
86.2,12.1,2.55
87.3,12.1,2.32
88.4,12.1,2.57
89.6,12.1,2.57
90.7,12.1,2.57
91.8,12.1,2.55
92.9,12.1,2.55
94.1,12.1,2.55
95.2,12.1,2.55
96.3,12.12,2.55
97.4,12.12,2.55
98.6,12.12,2.56
99.7,12.12,2.56
100.8,12.14,2.56
102.0,12.13,2.56
103.1,12.13,2.56
104.2,12.13,2.56
105.4,12.15,2.56
106.5,12.13,2.56
107.6,12.13,2.56
108.8,12.15,2.56
109.9,12.14,2.56
111.0,12.14,2.56
112.1,12.15,2.56
113.3,12.15,2.56
114.4,12.15,2.56
115.5,12.15,2.56
116.7,12.18,2.56
117.8,13.11,1.46
118.9,13.18,1.21
120.1,13.16,1.53
121.2,13.14,1.62
122.3,13.18,1.63
123.5,13.23,1.63
124.7,13.26,1.63
126.0,13.31,1.63
127.1,13.31,1.63
128.2,13.32,1.63
129.3,13.32,1.63
130.5,13.33,1.63
131.6,13.33,1.63
132.7,13.32,1.63
133.8,13.32,1.63
135.0,10.97,0.96
136.1,11.36,0.96
137.2,11.41,0.96
138.4,11.46,0.96
139.5,11.5,0.97
140.7,11.71,1.21
141.8,11.78,1.21
142.9,11.86,1.21
144.1,11.95,1.21
145.2,11.82,1.26
146.3,11.82,1.26
147.4,11.82,1.26
