# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,13.48,1.56
1.1,13.42,1.45
2.3,13.42,1.5
3.4,13.42,1.53
4.5,13.42,1.56
5.7,13.42,1.56
6.8,13.49,1.56
7.9,13.65,1.56
9.1,13.65,1.57
10.2,13.65,1.57
11.4,13.65,1.57
12.5,13.65,1.57
13.6,13.65,1.57
14.7,13.65,1.57
15.9,13.65,1.57
17.0,13.65,1.57
18.1,13.65,1.57
19.3,13.65,1.57
20.4,13.65,1.57
21.5,13.65,1.57
22.7,13.65,1.57
23.8,13.65,1.57
25.0,13.65,1.57
26.1,13.65,1.57
27.3,13.65,1.57
28.4,13.65,1.57
29.5,13.65,1.57
30.7,13.65,1.57
31.8,13.65,1.57
32.9,13.65,1.57
34.1,13.65,1.57
35.2,13.65,1.57
36.4,13.65,1.57
37.5,13.65,1.57
38.6,13.65,1.57
39.8,13.65,1.57
40.9,13.65,1.57
42.1,13.65,1.57
43.2,13.65,1.57
44.3,13.65,1.57
45.5,13.65,1.57
46.6,13.65,1.57
47.7,13.65,1.57
48.9,13.65,1.57
50.0,13.65,1.57
51.2,13.65,1.57
52.3,13.65,1.57
53.5,13.65,1.57
54.6,13.65,1.57
55.7,13.65,1.57
56.9,13.65,1.57
58.0,13.65,1.57
59.1,13.65,1.57
60.3,13.65,1.57
61.4,13.65,1.57
62.5,13.65,1.57
63.7,13.65,1.57
64.8,13.65,1.57
66.0,13.65,1.57
67.1,13.65,1.57
68.2,13.65,1.57
69.4,13.65,1.57
70.5,13.65,1.57
71.7,13.65,1.57
72.8,13.65,1.57
73.9,13.65,1.57
75.1,13.65,1.57
76.2,13.65,1.57
77.4,13.65,1.57
78.5,13.65,1.57
79.6,13.65,1.57
80.8,13.65,1.57
81.9,13.65,1.57
83.0,13.65,1.57
84.1,13.65,1.57
85.3,13.65,1.57
86.4,13.65,1.57
87.6,13.65,1.57
88.7,13.65,1.57
89.8,13.65,1.57
91.0,13.65,1.57
92.1,13.65,1.57
93.2,13.65,1.57
94.4,13.65,1.57
95.5,13.66,1.57
96.6,13.66,1.57
97.8,13.66,1.57
98.9,13.66,1.57
100.1,13.66,1.57
101.2,13.66,1.57
102.3,13.66,1.57
103.5,13.66,1.57
104.6,13.66,1.57
105.8,13.66,1.57
106.9,13.66,1.57
108.1,13.66,1.57
109.2,13.66,1.57
110.3,13.66,1.57
111.5,13.66,1.57
112.6,13.66,1.57
113.7,13.66,1.57
114.9,13.66,1.57
116.0,13.66,1.57
117.2,13.66,1.57
118.3,13.66,1.57
119.4,13.71,1.57
120.6,13.76,1.57
121.8,13.69,1.57
122.9,1.67,0.92
124.0,2.08,0.93
125.2,2.09,0.93
126.3,2.14,0.93
127.4,2.19,0.94
128.6,2.32,1.18
129.7,2.4,1.18
130.8,2.62,1.18
132.0,2.65,1.18
133.1,2.65,1.18
134.3,3.4,1.19
135.4,3.99,1.19
136.6,2.57,1.88
137.7,2.59,3.46
138.9,2.6,3.46
140.0,2.7,4.02
141.1,2.72,4.58
142.3,2.72,4.58
143.4,2.72,4.58
144.5,2.72,4.58
145.6,2.75,4.58
146.8,2.75,4.58
147.9,2.75,4.58
149.0,2.75,4.58
150.2,2.75,4.58
151.3,2.75,4.58
152.4,2.75,4.58
153.6,2.75,4.58
154.7,2.75,4.58
155.8,2.75,4.58
157.0,2.75,4.58
158.1,2.78,4.58
159.2,2.83,4.58
160.4,2.79,4.58
161.5,2.79,4.58
162.6,2.8,4.58
163.8,2.8,4.58
164.9,2.82,4.58
166.0,2.8,4.58
167.2,2.8,4.58
168.3,2.81,4.58
169.4,2.81,4.58
170.6,2.81,4.58
171.7,2.81,4.58
172.8,2.81,4.58
174.0,2.81,4.58
175.1,2.83,4.58
176.2,2.84,4.58
177.3,3.31,1.25
178.5,3.39,2.39
179.7,4.82,1.28
180.8,6.21,2.83
181.9,5.73,3.75
183.1,4.92,4.01
184.2,4.99,4.01
185.4,4.99,4.01
186.5,4.99,4.02
187.6,4.99,4.02
188.8,5.78,4.02
189.9,8.3,1.28
191.0,8.89,1.28
192.2,9.44,1.28
193.3,8.65,1.49
194.5,7.4,2.54
195.6,7.41,2.53
196.7,7.42,2.53
197.9,7.43,2.66
199.0,7.43,2.66
200.2,7.46,2.66
201.3,7.46,2.53
202.5,8.04,2.8
203.6,9.89,1.31
204.8,10.26,1.31
205.9,10.82,1.31
207.1,11.29,1.31
208.3,8.84,2.37
209.4,9.07,2.51
210.6,10.0,1.45
211.7,9.98,1.7
212.8,9.98,1.7
214.0,10.01,1.42
215.1,10.05,1.42
216.3,9.43,1.04
217.4,9.54,1.04
218.5,9.58,1.04
219.7,9.63,1.04
220.8,9.83,1.28
221.9,9.88,1.28
223.1,10.08,1.15
224.2,10.18,1.15
225.4,9.98,1.18
226.5,9.98,1.23
227.6,9.98,1.23
228.8,9.98,1.23
229.9,9.98,1.23
231.0,9.98,1.23
232.1,9.98,1.23
233.3,9.98,1.23
